Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      78.60
ABT            	Abbott Labs	US                	35        	Health Care	      40.86
ACE            	ACE Limited	US                	40        	Financials	      53.83
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      23.61
ADBE           	Adobe Systems	US                	45        	Information Technology	      37.11
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      30.50
AES            	AES Corp.	US                	55        	Utilities	      15.98
AET            	Aetna Inc. (New)	US                	35        	Health Care	      96.52
ACS            	Affiliated Computer	US                	45        	Information Technology	      61.00
AFL            	AFLAC Inc.	US                	40        	Financials	      46.88
A              	Agilent Technologies	US                	45        	Information Technology	      34.90
APD            	Air Products & Chemicals	US                	15        	Materials	      60.32
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      46.13
ABS            	Albertson's	US                	30        	Consumer Staples	      20.54
AA             	Alcoa Inc	US                	15        	Materials	      29.45
AYE            	Allegheny Energy	US                	55        	Utilities	      31.87
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      35.48
AGN            	Allergan, Inc.	US                	35        	Health Care	     109.06
AW             	Allied Waste Industries	US                	20        	Industrials	       8.95
ALL            	Allstate Corp.	US                	40        	Financials	      54.76
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      63.35
ALTR           	Altera Corp.	US                	45        	Information Technology	      19.17
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      76.05
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      49.22
ABK            	Ambac Financial Group	US                	40        	Financials	      78.58
AHC            	Amerada Hess	US                	10        	Energy	     128.06
AEE            	Ameren Corporation	US                	55        	Utilities	      51.74
AEP            	American Electric Power	US                	55        	Utilities	      37.34
AXP            	American Express	US                	40        	Financials	      52.31
AIG            	American Int'l. Group	US                	40        	Financials	      68.10
APCC           	American Power Conversion	US                	20        	Industrials	      22.15
ASD            	American Standard	US                	20        	Industrials	      40.36
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      41.93
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      81.80
AMGN           	Amgen	US                	35        	Health Care	      80.87
ASO            	AmSouth Bancorporation	US                	40        	Financials	      26.72
APC            	Anadarko Petroleum	US                	10        	Energy	      94.65
ADI            	Analog Devices	US                	45        	Information Technology	      37.01
