Symbol	Company	Country	GICS	Sector	Price
ABT            	Abbott Labs	US                	35        	Health Care	      48.44
ADPT           	Adaptec, Inc.(old)	US                	45        	Information Technology	      10.25
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      18.13
ADBE           	Adobe Systems	US                	45        	Information Technology	      58.19
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      13.81
AES            	AES Corp.	US                	55        	Utilities	      55.38
AET            	Aetna Inc. (New)	US                	35        	Health Care	      41.06
AFL            	AFLAC Corporation	US                	40        	Financials	      72.19
A              	Agilent Technologies	US                	45        	Information Technology	      54.75
APD            	Air Products & Chemicals	US                	15        	Materials	      41.00
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      42.81
ABS            	Albertson's	US                	30        	Consumer Staples	      26.50
AL             	Alcan Inc.	US                	15        	Materials	      34.19
AA             	Alcoa Inc	US                	15        	Materials	      33.50
AYE            	Allegheny Energy	US                	55        	Utilities	      48.19
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      15.88
AGN            	Allergan, Inc.	US                	35        	Health Care	      96.81
AW             	Allied Waste Industries	US                	20        	Industrials	      14.56
ALL            	Allstate Corp.	US                	40        	Financials	      43.56
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      62.44
ALTR           	Altera Corp.	US                	45        	Information Technology	      26.31
AZA            	ALZA Corp. Cl. A	US                	35        	Health Care	      42.50
ABK            	Ambac Financial Group	US                	40        	Financials	      58.31
AHC            	Amerada Hess	US                	10        	Energy	      73.06
AEE            	Ameren Corporation	US                	55        	Utilities	      46.31
AEP            	American Electric Power	US                	55        	Utilities	      46.50
AXP            	American Express	US                	40        	Financials	      54.94
AGC            	American General	US                	40        	Financials	      81.50
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	       9.44
AHP            	American Home Products	US                	35        	Health Care	      63.55
AIG            	American Int'l. Group	US                	40        	Financials	      98.56
APCC           	American Power Conversion	US                	20        	Industrials	      12.38
AMGN           	Amgen	US                	35        	Health Care	      63.94
AMR            	AMR Corp.	US                	20        	Industrials	      39.19
ASO            	AmSouth Bancorporation	US                	40        	Financials	      15.25
APC            	Anadarko Petroleum	US                	10        	Energy	      71.08
ADI            	Analog Devices	US                	45        	Information Technology	      51.19
ANDW           	Andrew Corp.	US                	45        	Information Technology	      21.75
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      45.50
AOL            	AOL Time Warner Inc.	US                	45        	Information Technology	      34.80
AOC            	Aon Corp.	US                	40        	Financials	      34.25
APA            	Apache Corp.	US                	10        	Energy	      70.06
AAPL           	Apple Computer	US                	45        	Information Technology	      14.88
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      94.06
AMAT           	Applied Materials	US                	45        	Information Technology	      38.19
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	      75.05
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      15.00
ASH            	Ashland Inc.	US                	10        	Energy	      35.89
T              	AT&T Corp.	US                	50        	Telecommunications Services	      17.31
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      26.94
ADP            	Automatic Data Processing Inc.	US                	20        	Industrials	      63.31
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      28.50
AV             	Avaya Inc.	US                	45        	Information Technology	      10.31
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      54.88
AVP            	Avon Products	US                	30        	Consumer Staples	      47.88
BHI            	Baker Hughes	US                	10        	Energy	      41.56
BLL            	Ball Corp.	US                	15        	Materials	      46.06
BAC            	Bank of America Corp.	US                	40        	Financials	      45.88
BK             	Bank of New York	US                	40        	Financials	      55.19
ONE            	Bank One Corp.	US                	40        	Financials	      36.63
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      46.56
ABX            	Barrick Gold Corp.	US                	15        	Materials	      16.38
BOL            	Bausch & Lomb	US                	35        	Health Care	      40.44
BAX            	Baxter International Inc.	US                	35        	Health Care	      88.31
BBT            	BB&T Corporation	US                	40        	Financials	      37.31
BSC            	Bear Stearns Cos.	US                	40        	Financials	      50.69
BDX            	Becton, Dickinson	US                	35        	Health Care	      34.63
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      22.38
BLS            	BellSouth	US                	50        	Telecommunications Services	      40.94
BMS            	Bemis Company	US                	15        	Materials	      33.56
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      29.56
CNS            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      10.63
BGEN           	Biogen Inc.	US                	35        	Health Care	      60.06
BMET           	Biomet, Inc.	US                	35        	Health Care	      39.69
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      39.25
HRB            	Block H&R	US                	20        	Industrials	      41.38
BMCS           	BMC Software	US                	45        	Information Technology	      14.00
BA             	Boeing Company	US                	20        	Industrials	      66.00
BCC            	Boise Cascade	US                	15        	Materials	      33.63
BSX            	Boston Scientific	US                	35        	Health Care	      13.69
BGG            	Briggs & Stratton	US                	20        	Industrials	      44.38
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      73.94
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      84.00
BVSN           	BROADVISION iNC.	US                	45        	Information Technology	      11.81
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      66.50
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      16.44
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      28.31
BR             	Burlington Resources	US                	10        	Energy	      50.50
CS             	Cabletron Systems	US                	45        	Information Technology	      15.06
CPN            	Calpine Corp.	US                	55        	Utilities	      45.06
CPB            	Campbell Soup	US                	30        	Consumer Staples	      34.63
COF            	Capital One Financial	US                	40        	Financials	      65.81
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      99.63
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      30.81
CAT            	Caterpillar Inc.	US                	20        	Industrials	      47.31
CD             	Cendant Corporation	US                	20        	Industrials	       9.63
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      37.56
CTL            	Century Telephone	US                	50        	Telecommunications Services	      35.75
CEN            	Ceridian Corp. (Old)	US                	45        	Information Technology	      19.94
SCH            	Charles Schwab	US                	40        	Financials	      28.38
CF             	Charter One Financial	US                	40        	Financials	      28.88
CHV            	Chevron Corp.	US                	10        	Energy	      84.44
CHIR           	Chiron Corp.	US                	35        	Health Care	      44.50
CB             	Chubb Corp.	US                	40        	Financials	      86.50
CI             	CIGNA Corp.	US                	35        	Health Care	     132.30
CINF           	Cincinnati Financial	US                	40        	Financials	      39.56
CIN            	CINergy Corp.	US                	55        	Utilities	      35.13
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      11.50
CSCO           	Cisco Systems	US                	45        	Information Technology	      38.25
CIT            	CIT Group	US                	40        	Financials	      20.13
C              	Citigroup Inc.	US                	40        	Financials	      51.06
CTXS           	Citrix Systems	US                	45        	Information Technology	      22.50
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      48.44
CLX            	Clorox Co.	US                	30        	Consumer Staples	      35.50
CMS            	CMS Energy	US                	55        	Utilities	      31.69
CGP            	Coastal Corp.	US                	10        	Energy	      88.31
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      60.94
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      19.00
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      64.55
CMCSK          	Comcast Class A Special	US                	25        	Consumer Discretionary	      41.75
CMA            	Comerica Inc.	US                	40        	Financials	      59.38
CPQ            	COMPAQ Computer	US                	45        	Information Technology	      15.05
CA             	Computer Associates Intl.	US                	45        	Information Technology	      19.50
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      60.13
CPWR           	Compuware Corp.	US                	45        	Information Technology	       6.25
CMVT           	Comverse Technology	US                	45        	Information Technology	     108.63
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      26.00
CNXT           	Conexant Systems	US                	45        	Information Technology	      15.38
COC.B          	Conoco Inc.	US                	10        	Energy	      28.94
CNC            	Conseco Inc.	US                	40        	Financials	      13.19
ED             	Consolidated Edison	US                	55        	Utilities	      38.50
CEG            	Constellation Energy Group	US                	55        	Utilities	      45.06
CVG            	Convergys Corp.	US                	20        	Industrials	      45.31
CBE            	Cooper Industries	US                	20        	Industrials	      45.94
CTB            	Cooper Tire & Rubber	US                	25        	Consumer Discretionary	      10.63
RKY            	Coors (Adolph)	US                	30        	Consumer Staples	      80.31
GLW            	Corning Inc.	US                	45        	Information Technology	      52.81
COST           	Costco Co.	US                	25        	Consumer Discretionary	      39.94
CCR            	Countrywide Credit Industries	US                	40        	Financials	      50.25
CR             	Crane Company	US                	20        	Industrials	      28.44
CSX            	CSX Corp.	US                	20        	Industrials	      25.94
CUM            	Cummins  Inc.	US                	20        	Industrials	      37.94
CVS            	CVS Corp.	US                	30        	Consumer Staples	      59.94
DCN            	Dana Corp.	US                	25        	Consumer Discretionary	      15.31
DHR            	Danaher Corp.	US                	20        	Industrials	      68.38
DRI            	Darden Restaurants	US                	25        	Consumer Discretionary	      22.88
DE             	Deere & Co.	US                	20        	Industrials	      45.81
DELL           	Dell Computer	US                	45        	Information Technology	      17.44
DPH            	Delphi Automotive Systems	US                	25        	Consumer Discretionary	      11.25
DAL            	Delta Air Lines	US                	20        	Industrials	      50.19
DLX            	Deluxe Corp.	US                	20        	Industrials	      20.20
DVN            	Devon Energy Corp.	US                	10        	Energy	      60.97
DDS            	Dillard Inc.	US                	25        	Consumer Discretionary	      11.81
DG             	Dollar General	US                	25        	Consumer Discretionary	      18.88
D              	Dominion Resources	US                	55        	Utilities	      67.00
DNY            	Donnelley (R.R.) & Sons	US                	20        	Industrials	      27.00
DOV            	Dover Corp.	US                	20        	Industrials	      40.56
DOW            	Dow Chemical	US                	15        	Materials	      36.63
DJ             	Dow Jones & Co.	US                	25        	Consumer Discretionary	      56.63
DTE            	DTE Energy Co.	US                	55        	Utilities	      38.94
DD             	Du Pont (E.I.)	US                	15        	Materials	      48.31
DUK            	Duke Energy	US                	55        	Utilities	      85.25
DYN            	Dynegy Inc. (New) Class A	US                	55        	Utilities	      56.06
EMN            	Eastman Chemical	US                	15        	Materials	      48.75
EK             	Eastman Kodak	US                	25        	Consumer Discretionary	      39.38
ETN            	Eaton Corp.	US                	20        	Industrials	      64.72
ECL            	Ecolab Inc.	US                	20        	Industrials	      43.19
EIX            	Edison Int'l	US                	55        	Utilities	      15.63
EPG            	El Paso Corp.	US                	55        	Utilities	      71.63
EDS            	Electronic Data Systems	US                	45        	Information Technology	      57.75
EMC            	EMC Corp.	US                	45        	Information Technology	      66.50
EMR            	Emerson Electric	US                	20        	Industrials	      78.81
EC             	Engelhard Corp.	US                	15        	Materials	      20.38
ENE            	Enron Corp.	US                	55        	Utilities	      83.13
ETR            	Entergy Corp.	US                	55        	Utilities	      42.31
EOG            	EOG Resources	US                	10        	Energy	      54.69
EFX            	Equifax Inc.	US                	20        	Industrials	      28.69
EXC            	Exelon Corp.	US                	55        	Utilities	      70.21
XOM            	Exxon Mobil Corp.	US                	10        	Energy	      86.94
FNM            	Fannie Mae	US                	40        	Financials	      86.75
FDX            	Federal Express	US                	20        	Industrials	      39.96
FRE            	Federal Home Loan Mtg.	US                	40        	Financials	      68.88
FD             	Federated Dept. Stores	US                	25        	Consumer Discretionary	      35.00
FITB           	Fifth Third Bancorp	US                	40        	Financials	      59.75
FDC            	First Data	US                	20        	Industrials	      52.69
FTU            	First Union Corp.	US                	40        	Financials	      27.81
FE             	FirstEnergy Corp.	US                	55        	Utilities	      31.56
FBF            	Fleet Boston Financial Group	US                	40        	Financials	      37.56
FLR            	Fluor Corp. (New)	US                	20        	Industrials	      33.06
FMC            	FMC Corp.	US                	15        	Materials	      71.69
F              	Ford Motor	US                	25        	Consumer Discretionary	      23.44
FRX            	Forest Laboratories	US                	35        	Health Care	     132.88
FO             	Fortune Brands, Inc.	US                	25        	Consumer Discretionary	      30.00
FPL            	FPL Group	US                	55        	Utilities	      71.75
