Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      75.93
ABT            	Abbott Labs	US                	35        	Health Care	      41.62
ACE            	ACE Limited	US                	40        	Financials	      34.18
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.59
ADBE           	Adobe Systems	US                	45        	Information Technology	      42.32
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      13.65
AES            	AES Corp.	US                	55        	Utilities	       7.96
AET            	Aetna Inc. (New)	US                	35        	Health Care	      62.61
AFL            	AFLAC Corporation	US                	40        	Financials	      35.37
A              	Agilent Technologies	US                	45        	Information Technology	      22.97
APD            	Air Products & Chemicals	US                	15        	Materials	      46.56
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      62.75
ABS            	Albertson's	US                	30        	Consumer Staples	      19.64
AA             	Alcoa Inc	US                	15        	Materials	      29.55
AYE            	Allegheny Energy	US                	55        	Utilities	       9.91
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       7.04
AGN            	Allergan, Inc.	US                	35        	Health Care	      78.31
AW             	Allied Waste Industries	US                	20        	Industrials	      10.57
ALL            	Allstate Corp.	US                	40        	Financials	      39.99
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      48.72
ALTR           	Altera Corp.	US                	45        	Information Technology	      18.38
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      45.48
ABK            	Ambac Financial Group	US                	40        	Financials	      69.90
AHC            	Amerada Hess	US                	10        	Energy	      52.92
AEE            	Ameren Corporation	US                	55        	Utilities	      43.99
AEP            	American Electric Power	US                	55        	Utilities	      29.19
AXP            	American Express	US                	40        	Financials	      47.63
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      20.94
AIG            	American Int'l. Group	US                	40        	Financials	      60.56
APCC           	American Power Conversion	US                	20        	Industrials	      17.10
ASD            	American Standard	US                	20        	Industrials	      90.42
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      58.79
AMGN           	Amgen	US                	35        	Health Care	      59.67
ASO            	AmSouth Bancorporation	US                	40        	Financials	      22.67
APC            	Anadarko Petroleum	US                	10        	Energy	      41.50
ADI            	Analog Devices	US                	45        	Information Technology	      41.87
ANDW           	Andrew Corp.	US                	45        	Information Technology	      12.47
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      49.60
ATH            	Anthem, Inc.	US                	35        	Health Care	      76.90
AOC            	Aon Corp.	US                	40        	Financials	      21.45
APA            	Apache Corp.	US                	10        	Energy	      69.47
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      40.75
APOL           	Apollo Group	US                	20        	Industrials	      63.81
AAPL           	Apple Computer	US                	45        	Information Technology	      23.00
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      22.25
