Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      77.57
ABT            	Abbott Labs	US                	35        	Health Care	      40.43
ACE            	ACE Limited	US                	40        	Financials	      53.42
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      23.45
ADBE           	Adobe Systems	US                	45        	Information Technology	      38.45
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      28.12
AES            	AES Corp.	US                	55        	Utilities	      15.91
AET            	Aetna Inc. (New)	US                	35        	Health Care	      94.23
ACS            	Affiliated Computer	US                	45        	Information Technology	      56.17
AFL            	AFLAC Inc.	US                	40        	Financials	      46.99
A              	Agilent Technologies	US                	45        	Information Technology	      35.05
APD            	Air Products & Chemicals	US                	15        	Materials	      59.30
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      45.34
ABS            	Albertson's	US                	30        	Consumer Staples	      23.86
AA             	Alcoa Inc	US                	15        	Materials	      28.55
AYE            	Allegheny Energy	US                	55        	Utilities	      31.86
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      33.01
AGN            	Allergan, Inc.	US                	35        	Health Care	     107.51
AW             	Allied Waste Industries	US                	20        	Industrials	       8.95
ALL            	Allstate Corp.	US                	40        	Financials	      54.16
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      64.01
ALTR           	Altera Corp.	US                	45        	Information Technology	      18.82
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      76.58
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      48.37
ABK            	Ambac Financial Group	US                	40        	Financials	      77.41
AHC            	Amerada Hess	US                	10        	Energy	     125.53
AEE            	Ameren Corporation	US                	55        	Utilities	      51.72
AEP            	American Electric Power	US                	55        	Utilities	      37.00
AXP            	American Express	US                	40        	Financials	      51.27
AIG            	American Int'l. Group	US                	40        	Financials	      65.82
APCC           	American Power Conversion	US                	20        	Industrials	      22.04
ASD            	American Standard	US                	20        	Industrials	      39.97
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      41.31
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      80.90
AMGN           	Amgen	US                	35        	Health Care	      77.63
ASO            	AmSouth Bancorporation	US                	40        	Financials	      26.55
APC            	Anadarko Petroleum	US                	10        	Energy	      95.97
ADI            	Analog Devices	US                	45        	Information Technology	      36.78
ANDW           	Andrew Corp.	US                	45        	Information Technology	      10.94
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      44.27
