Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      87.75
ABT            	Abbott Labs	US                	35        	Health Care	      44.00
ACE            	ACE Limited	US                	40        	Financials	      42.65
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.81
ADBE           	Adobe Systems	US                	45        	Information Technology	      42.76
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      16.00
AES            	AES Corp.	US                	55        	Utilities	       7.76
AET            	Aetna Inc. (New)	US                	35        	Health Care	      89.26
ACS            	Affiliated Computer	US                	45        	Information Technology	      47.93
AFL            	AFLAC Corporation	US                	40        	Financials	      41.30
A              	Agilent Technologies	US                	45        	Information Technology	      29.09
APD            	Air Products & Chemicals	US                	15        	Materials	      52.19
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      46.91
ABS            	Albertson's	US                	30        	Consumer Staples	      23.15
AA             	Alcoa Inc	US                	15        	Materials	      32.34
AYE            	Allegheny Energy	US                	55        	Utilities	      14.47
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      11.55
AGN            	Allergan, Inc.	US                	35        	Health Care	      91.44
AW             	Allied Waste Industries	US                	20        	Industrials	      13.03
ALL            	Allstate Corp.	US                	40        	Financials	      46.41
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      51.90
ALTR           	Altera Corp.	US                	45        	Information Technology	      21.26
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      55.58
ABK            	Ambac Financial Group	US                	40        	Financials	      71.55
AHC            	Amerada Hess	US                	10        	Energy	      67.49
AEE            	Ameren Corporation	US                	55        	Utilities	      43.73
AEP            	American Electric Power	US                	55        	Utilities	      30.82
AXP            	American Express	US                	40        	Financials	      50.28
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      21.25
AIG            	American Int'l. Group	US                	40        	Financials	      73.03
APCC           	American Power Conversion	US                	20        	Industrials	      24.02
ASD            	American Standard	US                	20        	Industrials	     107.74
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      58.45
AMGN           	Amgen	US                	35        	Health Care	      59.05
ASO            	AmSouth Bancorporation	US                	40        	Financials	      22.36
APC            	Anadarko Petroleum	US                	10        	Energy	      54.77
ADI            	Analog Devices	US                	45        	Information Technology	      46.06
ANDW           	Andrew Corp.	US                	45        	Information Technology	      20.56
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      51.95
