Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      70.94
ABT            	Abbott Labs	US                	35        	Health Care	      48.96
ACE            	ACE Limited	US                	40        	Financials	      52.52
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      14.33
ADBE           	Adobe Systems	US                	45        	Information Technology	      32.86
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      23.92
AES            	AES Corp.	US                	55        	Utilities	      20.91
AET            	Aetna Inc.	US                	35        	Health Care	      37.67
ACS            	Affiliated Computer	US                	45        	Information Technology	      51.45
AFL            	AFLAC Inc.	US                	40        	Financials	      44.36
A              	Agilent Technologies	US                	45        	Information Technology	      30.80
APD            	Air Products & Chemicals	US                	15        	Materials	      65.68
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      48.13
AA             	Alcoa Inc	US                	15        	Materials	      28.85
AYE            	Allegheny Energy	US                	55        	Utilities	      41.85
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      57.79
AGN            	Allergan, Inc.	US                	35        	Health Care	     113.60
AW             	Allied Waste Industries	US                	20        	Industrials	      10.08
ALL            	Allstate Corp.	US                	40        	Financials	      57.43
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      54.25
ALTR           	Altera Corp.	US                	45        	Information Technology	      19.59
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      84.05
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      28.91
ABK            	Ambac Financial Group	US                	40        	Financials	      85.74
AEE            	Ameren Corporation	US                	55        	Utilities	      52.82
AEP            	American Electric Power	US                	55        	Utilities	      36.26
AXP            	American Express	US                	40        	Financials	      52.94
AIG            	American Int'l. Group	US                	40        	Financials	      63.52
APCC           	American Power Conversion	US                	20        	Industrials	      17.08
ASD            	American Standard	US                	20        	Industrials	      41.00
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      45.48
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      44.81
AMGN           	Amgen	US                	35        	Health Care	      68.26
ASO            	AmSouth Bancorporation	US                	40        	Financials	      28.88
APC            	Anadarko Petroleum	US                	10        	Energy	      46.00
ADI            	Analog Devices	US                	45        	Information Technology	      30.01
ANDW           	Andrew Corp.	US                	45        	Information Technology	       9.38
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      49.26
AOC            	Aon Corp.	US                	40        	Financials	      34.15
APA            	Apache Corp.	US                	10        	Energy	      66.84
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      51.00
APOL           	Apollo Group	US                	25        	Consumer Discretionary	      50.19
AAPL           	Apple Computer	US                	45        	Information Technology	      66.98
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      30.71
AMAT           	Applied Materials	US                	45        	Information Technology	      16.33
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      41.69
ASN            	Archstone-Smith Trust	US                	40        	Financials	      53.13
ASH            	Ashland Inc.	US                	15        	Materials	      63.20
T              	AT&T Inc.	US                	50        	Telecommunications Services	      30.97
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      33.94
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      47.26
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      19.12
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      88.15
AV             	Avaya Inc.	US                	45        	Information Technology	      10.17
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      61.42
AVP            	Avon Products	US                	30        	Consumer Staples	      28.36
BHI            	Baker Hughes	US                	10        	Energy	      73.25
BLL            	Ball Corp.	US                	15        	Materials	      39.72
BAC            	Bank of America Corp.	US                	40        	Financials	      52.18
BK             	Bank of New York	US                	40        	Financials	      33.96
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      73.49
BRL            	Barr Pharmaceuticals, Inc.	US                	35        	Health Care	      57.17
BOL            	Bausch & Lomb	US                	35        	Health Care	      46.45
BAX            	Baxter International Inc.	US                	35        	Health Care	      44.19
BBT            	BB&T Corporation	US                	40        	Financials	      42.96
BSC            	Bear Stearns Cos.	US                	40        	Financials	     133.90
BDX            	Becton, Dickinson	US                	35        	Health Care	      68.85
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      33.29
BLS            	BellSouth	US                	50        	Telecommunications Services	      40.51
BMS            	Bemis Company	US                	15        	Materials	      31.92
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      46.12
BIG            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      18.15
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      44.74
BMET           	Biomet, Inc.	US                	35        	Health Care	      32.55
BJS            	BJ Services	US                	10        	Energy	      35.10
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      73.80
HRB            	Block H&R	US                	25        	Consumer Discretionary	      20.63
BMC            	BMC Software	US                	45        	Information Technology	      25.96
BA             	Boeing Company	US                	20        	Industrials	      74.72
BXP            	Boston Properties	US                	40        	Financials	     101.34
BSX            	Boston Scientific	US                	35        	Health Care	      17.51
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      21.72
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      28.70
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      73.61
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      28.55
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      65.67
CA             	CA, Inc.	US                	45        	Information Technology	      23.66
CPB            	Campbell Soup	US                	30        	Consumer Staples	      37.48
COF            	Capital One Financial	US                	40        	Financials	      70.98
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      66.82
CMX            	Caremark Rx	US                	35        	Health Care	      57.41
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      39.73
CAT            	Caterpillar Inc.	US                	20        	Industrials	      66.07
CBS            	CBS Corp.	US                	25        	Consumer Discretionary	      28.94
CNP            	CenterPoint Energy	US                	55        	Utilities	      14.53
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      49.37
CTL            	Century Telephone	US                	50        	Telecommunications Services	      39.55
SCHW           	Charles Schwab	US                	40        	Financials	      16.07
CHK            	Chesapeake Energy	US                	10        	Energy	      31.74
CVX            	Chevron Corp.	US                	10        	Energy	      66.16
CME            	Chicago Mercantile Exchange	US                	40        	Financials	     437.25
CB             	Chubb Corp.	US                	40        	Financials	      49.31
CIEN           	Ciena Corp.	US                	45        	Information Technology	       4.21
CI             	CIGNA Corp.	US                	35        	Health Care	     112.00
CINF           	Cincinnati Financial	US                	40        	Financials	      46.03
CTAS           	Cintas Corporation	US                	20        	Industrials	      36.93
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      22.92
CSCO           	Cisco Systems	US                	45        	Information Technology	      21.43
CIT            	CIT Group	US                	40        	Financials	      44.88
C              	Citigroup Inc.	US                	40        	Financials	      49.12
CZN            	Citizens Communications	US                	50        	Telecommunications Services	      13.59
CTXS           	Citrix Systems	US                	45        	Information Technology	      30.71
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      28.47
CLX            	Clorox Co.	US                	30        	Consumer Staples	      60.14
CMS            	CMS Energy	US                	55        	Utilities	      14.48
COH            	Coach, Inc.	US                	25        	Consumer Discretionary	      29.51
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      44.71
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      21.88
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      58.89
CMCSA          	Comcast Corp.	US                	25        	Consumer Discretionary	      35.47
CMA            	Comerica Inc.	US                	40        	Financials	      57.12
CBH            	Commerce Bancorp	US                	40        	Financials	      33.51
CBSS           	Compass Bancshares	US                	40        	Financials	      57.60
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      47.03
CPWR           	Compuware Corp.	US                	45        	Information Technology	       7.61
CMVT           	Comverse Technology	US                	45        	Information Technology	      20.90
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      23.81
COP            	ConocoPhillips	US                	10        	Energy	      65.70
CNX            	CONSOL Energy Inc.	US                	10        	Energy	      38.27
ED             	Consolidated Edison	US                	55        	Utilities	      45.94
STZ            	Constellation Brands	US                	30        	Consumer Staples	      26.27
CEG            	Constellation Energy Group	US                	55        	Utilities	      59.37
CVG            	Convergys Corp.	US                	45        	Information Technology	      19.84
CBE            	Cooper Industries, Ltd.	US                	20        	Industrials	      83.57
GLW            	Corning Inc.	US                	45        	Information Technology	      21.59
COST           	Costco Co.	US                	30        	Consumer Staples	      49.16
CFC            	Countrywide Financial Corp.	US                	40        	Financials	      33.60
CVH            	Coventry Health Care Inc.	US                	35        	Health Care	      54.69
CSX            	CSX Corp.	US                	20        	Industrials	      30.05
CMI            	Cummins  Inc.	US                	20        	Industrials	     115.19
CVS            	CVS Corp.	US                	30        	Consumer Staples	      33.47
DHI            	D.R. Horton	US                	25        	Consumer Discretionary	      21.85
DHR            	Danaher Corp.	US                	20        	Industrials	      66.02
DRI            	Darden Restaurants	US                	25        	Consumer Discretionary	      35.24
DF             	Dean Foods	US                	30        	Consumer Staples	      39.05
DE             	Deere & Co.	US                	20        	Industrials	      75.20
DELL           	Dell Inc.	US                	45        	Information Technology	      22.21
DVN            	Devon Energy Corp.	US                	10        	Energy	      61.95
DDS            	Dillard Inc.	US                	25        	Consumer Discretionary	      31.65
DG             	Dollar General	US                	25        	Consumer Discretionary	      12.25
D              	Dominion Resources	US                	55        	Utilities	      81.10
RRD            	Donnelley (R.R.) & Sons	US                	20        	Industrials	      33.06
DOV            	Dover Corp.	US                	20        	Industrials	      47.69
DOW            	Dow Chemical	US                	15        	Materials	      36.77
DJ             	Dow Jones & Co.	US                	25        	Consumer Discretionary	      35.31
DTE            	DTE Energy Co.	US                	55        	Utilities	      41.52
DD             	Du Pont (E.I.)	US                	15        	Materials	      39.47
DUK            	Duke Energy	US                	55        	Utilities	      29.52
DYN            	Dynegy Inc. (New) Class A	US                	55        	Utilities	       6.06
ET             	E*Trade Financial Corp.	US                	40        	Financials	      23.15
EMN            	Eastman Chemical	US                	15        	Materials	      50.99
EK             	Eastman Kodak	US                	25        	Consumer Discretionary	      20.47
ETN            	Eaton Corp.	US                	20        	Industrials	      65.91
EBAY           	eBay Inc.	US                	45        	Information Technology	      25.79
ECL            	Ecolab Inc.	US                	15        	Materials	      44.15
EIX            	Edison Int'l	US                	55        	Utilities	      43.42
EP             	El Paso Corp.	US                	10        	Energy	      14.52
ERTS           	Electronic Arts	US                	45        	Information Technology	      49.96
EDS            	Electronic Data Systems	US                	45        	Information Technology	      23.48
EQ             	Embarq Corporation	US                	50        	Telecommunications Services	      46.12
EMC            	EMC Corp.	US                	45        	Information Technology	      11.33
EMR            	Emerson Electric	US                	20        	Industrials	      81.76
ETR            	Entergy Corp.	US                	55        	Utilities	      77.33
EOG            	EOG Resources	US                	10        	Energy	      67.83
EFX            	Equifax Inc.	US                	20        	Industrials	      31.66
EOP            	Equity Office Properties	US                	40        	Financials	      37.19
EQR            	Equity Residential	US                	40        	Financials	      49.42
EL             	Estee Lauder Cos.	US                	30        	Consumer Staples	      35.73
EXC            	Exelon Corp.	US                	55        	Utilities	      60.79
ESRX           	Express Scripts	US                	35        	Health Care	      81.89
XOM            	Exxon Mobil Corp.	US                	10        	Energy	      70.10
FDO            	Family Dollar Stores	US                	25        	Consumer Discretionary	      23.81
FNM            	Fannie Mae	US                	40        	Financials	      51.82
FRE            	Federal Home Loan Mtg.	US                	40        	Financials	      63.85
FD             	Federated Dept. Stores	US                	25        	Consumer Discretionary	      38.00
FII            	Federated Investors Inc.	US                	40        	Financials	      32.97
FDX            	FedEx Corporation	US                	20        	Industrials	     100.90
FITB           	Fifth Third Bancorp	US                	40        	Financials	      39.48
FDC            	First Data	US                	45        	Information Technology	      41.86
FHN            	First Horizon National	US                	40        	Financials	      40.05
FE             	FirstEnergy Corp.	US                	55        	Utilities	      56.25
FISV           	FIserv Inc.	US                	45        	Information Technology	      43.74
FSH            	Fisher Scientific	US                	35        	Health Care	      78.36
FLR            	Fluor Corp. (New)	US                	20        	Industrials	      85.11
F              	Ford Motor	US                	25        	Consumer Discretionary	       8.05
FRX            	Forest Laboratories	US                	35        	Health Care	      49.63
FO             	Fortune Brands, Inc.	US                	25        	Consumer Discretionary	      72.00
FPL            	FPL Group	US                	55        	Utilities	      44.20
BEN            	Franklin Resources	US                	40        	Financials	      97.53
FCX            	Freeport-McMoran Cp & Gld	US                	15        	Materials	      56.59
FSL.B          	Freescale Semiconductor Inc.	US                	45        	Information Technology	      30.14
GCI            	Gannett Co.	US                	25        	Consumer Discretionary	      55.61
GPS            	Gap (The)	US                	25        	Consumer Discretionary	      16.85
GD             	General Dynamics	US                	20        	Industrials	      67.39
GE             	General Electric	US                	20        	Industrials	      33.93
GIS            	General Mills	US                	30        	Consumer Staples	      54.12
GM             	General Motors	US                	25        	Consumer Discretionary	      29.43
GPC            	Genuine Parts	US                	25        	Consumer Discretionary	      41.32
GNW            	Genworth Financial Inc.	US                	40        	Financials	      34.05
GENZ           	Genzyme Corp.	US                	35        	Health Care	      66.27
GILD           	Gilead Sciences	US                	35        	Health Care	      64.47
GDW            	Golden West Financial	US                	40        	Financials	      76.56
GS             	Goldman Sachs Group	US                	40        	Financials	     149.53
GR             	Goodrich Corporation	US                	20        	Industrials	      38.86
GT             	Goodyear Tire & Rubber	US                	25        	Consumer Discretionary	      12.60
GOOG           	Google Inc.	US                	45        	Information Technology	     380.95
GWW            	Grainger (W.W.) Inc.	US                	20        	Industrials	      65.20
HAL            	Halliburton Co.	US                	10        	Energy	      33.22
HOG            	Harley-Davidson	US                	25        	Consumer Discretionary	      58.55
HAR            	Harman Int'l Industries	US                	25        	Consumer Discretionary	      81.29
HET            	Harrah's Entertainment	US                	25        	Consumer Discretionary	      60.05
HIG            	Hartford Financial Svc.Gp.	US                	40        	Financials	      85.01
HAS            	Hasbro Inc.	US                	25        	Consumer Discretionary	      19.95
HCA            	HCA Inc.	US                	35        	Health Care	      49.22
HMA            	Health Management Assoc.	US                	35        	Health Care	      20.49
HNZ            	Heinz (H.J.)	US                	30        	Consumer Staples	      41.84
HPC            	Hercules, Inc.	US                	15        	Materials	      14.78
HES            	Hess Corporation	US                	10        	Energy	      49.23
HPQ            	Hewlett-Packard	US                	45        	Information Technology	      35.28
HLT            	Hilton Hotels	US                	25        	Consumer Discretionary	      24.54
HD             	Home Depot	US                	25        	Consumer Discretionary	      33.69
HON            	Honeywell Int'l Inc.	US                	20        	Industrials	      38.62
HSP            	Hospira Inc.	US                	35        	Health Care	      37.50
HUM            	Humana Inc.	US                	35        	Health Care	      61.35
HBAN           	Huntington Bancshares	US                	40        	Financials	      23.93
ITW            	Illinois Tool Works	US                	20        	Industrials	      43.72
RX             	IMS Health Inc.	US                	35        	Health Care	      27.10
IR             	Ingersoll-Rand Co. Ltd.	US                	20        	Industrials	      37.43
INTC           	Intel Corp.	US                	45        	Information Technology	      19.38
IBM            	International Bus. Machines	US                	45        	Information Technology	      80.32
IFF            	International Flav/Frag	US                	15        	Materials	      38.78
IGT            	International Game Technology	US                	25        	Consumer Discretionary	      37.99
