Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      77.18
ABT            	Abbott Labs	US                	35        	Health Care	      42.80
ACE            	ACE Limited	US                	40        	Financials	      55.63
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      18.21
ADBE           	Adobe Systems	US                	45        	Information Technology	      32.66
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      24.82
AES            	AES Corp.	US                	55        	Utilities	      15.50
AET            	Aetna Inc. (New)	US                	35        	Health Care	      89.99
ACS            	Affiliated Computer	US                	45        	Information Technology	      55.62
AFL            	AFLAC Inc.	US                	40        	Financials	      48.86
A              	Agilent Technologies	US                	45        	Information Technology	      33.04
APD            	Air Products & Chemicals	US                	15        	Materials	      57.41
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      43.95
ABS            	Albertson's	US                	30        	Consumer Staples	      24.72
AA             	Alcoa Inc	US                	15        	Materials	      26.28
AYE            	Allegheny Energy	US                	55        	Utilities	      27.49
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      29.03
AGN            	Allergan, Inc.	US                	35        	Health Care	     100.12
AW             	Allied Waste Industries	US                	20        	Industrials	       8.43
ALL            	Allstate Corp.	US                	40        	Financials	      57.00
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      64.08
ALTR           	Altera Corp.	US                	45        	Information Technology	      17.64
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      74.51
ABK            	Ambac Financial Group	US                	40        	Financials	      76.36
AHC            	Amerada Hess	US                	10        	Energy	     122.06
AEE            	Ameren Corporation	US                	55        	Utilities	      51.82
AEP            	American Electric Power	US                	55        	Utilities	      36.53
AXP            	American Express	US                	40        	Financials	      49.86
AIG            	American Int'l. Group	US                	40        	Financials	      67.19
APCC           	American Power Conversion	US                	20        	Industrials	      21.41
ASD            	American Standard	US                	20        	Industrials	      39.07
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      38.92
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      76.95
AMGN           	Amgen	US                	35        	Health Care	      81.81
ASO            	AmSouth Bancorporation	US                	40        	Financials	      27.08
APC            	Anadarko Petroleum	US                	10        	Energy	      84.60
ADI            	Analog Devices	US                	45        	Information Technology	      36.99
ANDW           	Andrew Corp.	US                	45        	Information Technology	      10.37
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      43.06
AOC            	Aon Corp.	US                	40        	Financials	      35.03
APA            	Apache Corp.	US                	10        	Energy	      64.40
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      39.34
APOL           	Apollo Group	US                	25        	Consumer Discretionary	      70.11
AAPL           	Apple Computer	US                	45        	Information Technology	      61.18
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      26.04
AMAT           	Applied Materials	US                	45        	Information Technology	      17.93
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       2.64
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      24.40
ASN            	Archstone-Smith Trust	US                	40        	Financials	      41.37
ASH            	Ashland Inc.	US                	15        	Materials	      53.95
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      19.84
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      47.24
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      47.89
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      19.98
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      86.23
AV             	Avaya Inc.	US                	45        	Information Technology	      11.06
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      58.08
AVP            	Avon Products	US                	30        	Consumer Staples	      27.68
BHI            	Baker Hughes	US                	10        	Energy	      52.73
BLL            	Ball Corp.	US                	15        	Materials	      38.67
BAC            	Bank of America Corp.	US                	40        	Financials	      45.30
BK             	Bank of New York	US                	40        	Financials	      32.49
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      64.02
BOL            	Bausch & Lomb	US                	35        	Health Care	      80.50
BAX            	Baxter International Inc.	US                	35        	Health Care	      38.24
BBT            	BB&T Corporation	US                	40        	Financials	      43.38
BSC            	Bear Stearns Cos.	US                	40        	Financials	     110.43
BDX            	Becton, Dickinson	US                	35        	Health Care	      58.63
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      42.27
BLS            	BellSouth	US                	50        	Telecommunications Services	      26.10
BMS            	Bemis Company	US                	15        	Materials	      26.22
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      47.48
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      12.94
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      43.98
