Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      72.70
ABT            	Abbott Labs	US                	35        	Health Care	      43.32
ACE            	ACE Limited	US                	40        	Financials	      53.27
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      25.35
ADBE           	Adobe Systems	US                	45        	Information Technology	      38.77
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      40.41
AES            	AES Corp.	US                	55        	Utilities	      16.87
AET            	Aetna Inc. (New)	US                	35        	Health Care	      90.92
ACS            	Affiliated Computer	US                	45        	Information Technology	      57.17
AFL            	AFLAC Inc.	US                	40        	Financials	      47.50
A              	Agilent Technologies	US                	45        	Information Technology	      34.11
APD            	Air Products & Chemicals	US                	15        	Materials	      60.98
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      43.90
ABS            	Albertson's	US                	30        	Consumer Staples	      25.24
AA             	Alcoa Inc	US                	15        	Materials	      30.78
AYE            	Allegheny Energy	US                	55        	Utilities	      34.51
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      48.90
AGN            	Allergan, Inc.	US                	35        	Health Care	     113.25
AW             	Allied Waste Industries	US                	20        	Industrials	       9.10
ALL            	Allstate Corp.	US                	40        	Financials	      52.50
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      59.72
ALTR           	Altera Corp.	US                	45        	Information Technology	      19.49
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      73.75
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      44.66
ABK            	Ambac Financial Group	US                	40        	Financials	      76.65
AHC            	Amerada Hess	US                	10        	Energy	     147.11
AEE            	Ameren Corporation	US                	55        	Utilities	      51.51
AEP            	American Electric Power	US                	55        	Utilities	      36.99
AXP            	American Express	US                	40        	Financials	      53.32
AIG            	American Int'l. Group	US                	40        	Financials	      66.44
APCC           	American Power Conversion	US                	20        	Industrials	      23.77
ASD            	American Standard	US                	20        	Industrials	      36.99
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      43.30
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      43.06
AMGN           	Amgen	US                	35        	Health Care	      71.90
ASO            	AmSouth Bancorporation	US                	40        	Financials	      28.05
APC            	Anadarko Petroleum	US                	10        	Energy	     104.37
ADI            	Analog Devices	US                	45        	Information Technology	      39.76
ANDW           	Andrew Corp.	US                	45        	Information Technology	      12.85
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      42.08
AOC            	Aon Corp.	US                	40        	Financials	      36.01
APA            	Apache Corp.	US                	10        	Energy	      69.62
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      41.94
APOL           	Apollo Group	US                	25        	Consumer Discretionary	      55.86
AAPL           	Apple Computer	US                	45        	Information Technology	      72.33
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      27.97
AMAT           	Applied Materials	US                	45        	Information Technology	      19.73
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       3.02
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      28.44
ASN            	Archstone-Smith Trust	US                	40        	Financials	      45.98
ASH            	Ashland Inc.	US                	15        	Materials	      65.48
T              	AT&T Inc.	US                	50        	Telecommunications Services	      25.51
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      41.09
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      44.90
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      22.29
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      94.95
AV             	Avaya Inc.	US                	45        	Information Technology	      10.38
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      61.14
AVP            	Avon Products	US                	30        	Consumer Staples	      29.14
BHI            	Baker Hughes	US                	10        	Energy	      73.46
BLL            	Ball Corp.	US                	15        	Materials	      39.85
BAC            	Bank of America Corp.	US                	40        	Financials	      44.90
BK             	Bank of New York	US                	40        	Financials	      31.75
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      63.59
BOL            	Bausch & Lomb	US                	35        	Health Care	      68.56
BAX            	Baxter International Inc.	US                	35        	Health Care	      37.98
BBT            	BB&T Corporation	US                	40        	Financials	      40.03
BSC            	Bear Stearns Cos.	US                	40        	Financials	     124.42
BDX            	Becton, Dickinson	US                	35        	Health Care	      64.41
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      37.25
BLS            	BellSouth	US                	50        	Telecommunications Services	      28.38
BMS            	Bemis Company	US                	15        	Materials	      29.98
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      50.10
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      13.86
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      44.36
BMET           	Biomet, Inc.	US                	35        	Health Care	      35.69
BJS            	BJ Services	US                	10        	Energy	      40.08
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      84.76
HRB            	Block H&R	US                	25        	Consumer Discretionary	      24.91
BMC            	BMC Software	US                	45        	Information Technology	      22.94
BA             	Boeing Company	US                	20        	Industrials	      68.72
BSX            	Boston Scientific	US                	35        	Health Care	      23.15
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      22.57
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      58.72
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      70.64
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      36.04
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      76.83
BR             	Burlington Resources	US                	10        	Energy	      90.83
CPB            	Campbell Soup	US                	30        	Consumer Staples	      30.02
COF            	Capital One Financial	US                	40        	Financials	      84.80
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      71.33
CMX            	Caremark Rx	US                	35        	Health Care	      49.79
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      52.63
CAT            	Caterpillar Inc.	US                	20        	Industrials	      65.17
CBS            	CBS Corp.	US                	25        	Consumer Discretionary	      26.81
CD             	Cendant Corporation	US                	20        	Industrials	      16.74
CNP            	CenterPoint Energy	US                	55        	Utilities	      12.78
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      71.48
CTL            	Century Telephone	US                	50        	Telecommunications Services	      33.72
SCHW           	Charles Schwab	US                	40        	Financials	      15.18
CVX            	Chevron Corp.	US                	10        	Energy	      60.22
CHIR           	Chiron Corp.	US                	35        	Health Care	      45.32
CB             	Chubb Corp.	US                	40        	Financials	      94.97
CIEN           	Ciena Corp.	US                	45        	Information Technology	       3.97
CI             	CIGNA Corp.	US                	35        	Health Care	     112.95
CINF           	Cincinnati Financial	US                	40        	Financials	      45.05
CIN            	CINergy Corp.	US                	55        	Utilities	      44.18
CTAS           	Cintas Corporation	US                	20        	Industrials	      42.05
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      25.20
CSCO           	Cisco Systems	US                	45        	Information Technology	      18.58
CIT            	CIT Group	US                	40        	Financials	      52.56
C              	Citigroup Inc.	US                	40        	Financials	      47.01
CZN            	Citizens Communications	US                	50        	Telecommunications Services	      12.07
CTXS           	Citrix Systems	US                	45        	Information Technology	      31.30
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      29.48
CLX            	Clorox Co.	US                	30        	Consumer Staples	      58.48
CMS            	CMS Energy	US                	55        	Utilities	      14.82
COH            	Coach, Inc.	US                	25        	Consumer Discretionary	      35.78
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      41.45
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      19.10
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      54.61
CMCSA          	Comcast Corp.	US                	25        	Consumer Discretionary	      27.95
CMA            	Comerica Inc.	US                	40        	Financials	      56.27
CBSS           	Compass Bancshares	US                	40        	Financials	      49.20
CA             	Computer Associates Intl.	US                	45        	Information Technology	      27.99
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      50.79
CPWR           	Compuware Corp.	US                	45        	Information Technology	       8.43
CMVT           	Comverse Technology	US                	45        	Information Technology	      27.24
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      20.43
COP            	ConocoPhillips	US                	10        	Energy	      64.00
ED             	Consolidated Edison	US                	55        	Utilities	      46.85
STZ            	Constellation Brands	US                	30        	Consumer Staples	      26.20
CEG            	Constellation Energy Group	US                	55        	Utilities	      56.87
CVG            	Convergys Corp.	US                	45        	Information Technology	      17.19
CBE            	Cooper Industries, Ltd.	US                	20        	Industrials	      78.68
CTB            	Cooper Tire & Rubber	US                	25        	Consumer Discretionary	      16.18
GLW            	Corning Inc.	US                	45        	Information Technology	      25.11
COST           	Costco Co.	US                	30        	Consumer Staples	      50.09
CFC            	Countrywide Financial Corp.	US                	40        	Financials	      34.64
CVH            	Coventry Health Care Inc.	US                	35        	Health Care	      57.84
CSX            	CSX Corp.	US                	20        	Industrials	      53.85
CMI            	Cummins  Inc.	US                	20        	Industrials	      93.92
CVS            	CVS Corp.	US                	30        	Consumer Staples	      27.61
DHI            	D.R. Horton	US                	25        	Consumer Discretionary	      37.65
DCN            	Dana Corp.	US                	25        	Consumer Discretionary	       4.36
DHR            	Danaher Corp.	US                	20        	Industrials	      55.30
DRI            	Darden Restaurants	US                	25        	Consumer Discretionary	      40.52
DE             	Deere & Co.	US                	20        	Industrials	      71.35
DELL           	Dell Inc.	US                	45        	Information Technology	      29.31
DVN            	Devon Energy Corp.	US                	10        	Energy	      64.62
DDS            	Dillard Inc.	US                	25        	Consumer Discretionary	      25.82
DG             	Dollar General	US                	25        	Consumer Discretionary	      17.30
D              	Dominion Resources	US                	55        	Utilities	      75.50
RRD            	Donnelley (R.R.) & Sons	US                	20        	Industrials	      32.38
DOV            	Dover Corp.	US                	20        	Industrials	      43.77
DOW            	Dow Chemical	US                	15        	Materials	      43.08
DJ             	Dow Jones & Co.	US                	25        	Consumer Discretionary	      38.76
DTE            	DTE Energy Co.	US                	55        	Utilities	      42.57
DD             	Du Pont (E.I.)	US                	15        	Materials	      39.81
DUK            	Duke Energy	US                	55        	Utilities	      28.34
DYN            	Dynegy Inc. (New) Class A	US                	55        	Utilities	       5.44
ET             	E*Trade Financial Corp.	US                	40        	Financials	      22.97
EMN            	Eastman Chemical	US                	15        	Materials	      52.32
EK             	Eastman Kodak	US                	25        	Consumer Discretionary	      26.24
ETN            	Eaton Corp.	US                	20        	Industrials	      65.52
EBAY           	eBay Inc.	US                	25        	Consumer Discretionary	      44.05
ECL            	Ecolab Inc.	US                	15        	Materials	      35.78
EIX            	Edison Int'l	US                	55        	Utilities	      45.23
EP             	El Paso Corp.	US                	10        	Energy	      13.00
ERTS           	Electronic Arts	US                	45        	Information Technology	      56.89
EDS            	Electronic Data Systems	US                	45        	Information Technology	      24.97
EMC            	EMC Corp.	US                	45        	Information Technology	      13.71
EMR            	Emerson Electric	US                	20        	Industrials	      77.61
EC             	Engelhard Corp.	US                	15        	Materials	      40.79
ETR            	Entergy Corp.	US                	55        	Utilities	      68.89
EOG            	EOG Resources	US                	10        	Energy	      80.14
EFX            	Equifax Inc.	US                	20        	Industrials	      38.22
EOP            	Equity Office Properties	US                	40        	Financials	      31.22
EQR            	Equity Residential	US                	40        	Financials	      41.82
EL             	Estee Lauder Cos.	US                	30        	Consumer Staples	      35.70
EXC            	Exelon Corp.	US                	55        	Utilities	      57.27
ESRX           	Express Scripts	US                	35        	Health Care	      89.22
XOM            	Exxon Mobil Corp.	US                	10        	Energy	      59.95
FDO            	Family Dollar Stores	US                	25        	Consumer Discretionary	      24.53
FNM            	Fannie Mae	US                	40        	Financials	      56.95
FRE            	Federal Home Loan Mtg.	US                	40        	Financials	      66.98
FD             	Federated Dept. Stores	US                	25        	Consumer Discretionary	      68.37
FII            	Federated Investors Inc.	US                	40        	Financials	      39.22
FDX            	FedEx Corporation	US                	20        	Industrials	     101.90
FITB           	Fifth Third Bancorp	US                	40        	Financials	      38.18
FDC            	First Data	US                	45        	Information Technology	      45.30
FHN            	First Horizon National	US                	40        	Financials	      38.31
FE             	FirstEnergy Corp.	US                	55        	Utilities	      50.36
FISV           	FIserv Inc.	US                	45        	Information Technology	      43.74
FSH            	Fisher Scientific	US                	35        	Health Care	      66.32
FLR            	Fluor Corp. (New)	US                	20        	Industrials	      86.90
F              	Ford Motor	US                	25        	Consumer Discretionary	       8.67
FRX            	Forest Laboratories	US                	35        	Health Care	      44.57
FO             	Fortune Brands, Inc.	US                	25        	Consumer Discretionary	      76.44
FPL            	FPL Group	US                	55        	Utilities	      40.80
BEN            	Franklin Resources	US                	40        	Financials	     100.80
FCX            	Freeport-McMoran Cp & Gld	US                	15        	Materials	      61.80
FSL.B          	Freescale Semiconductor Inc.	US                	45        	Information Technology	      26.92
GCI            	Gannett Co.	US                	25        	Consumer Discretionary	      61.01
GPS            	Gap (The)	US                	25        	Consumer Discretionary	      17.12
GTW            	Gateway Inc.	US                	45        	Information Technology	       2.79
GD             	General Dynamics	US                	20        	Industrials	     118.87
GE             	General Electric	US                	20        	Industrials	      33.01
GIS            	General Mills	US                	30        	Consumer Staples	      48.26
GM             	General Motors	US                	25        	Consumer Discretionary	      23.05
GPC            	Genuine Parts	US                	25        	Consumer Discretionary	      43.35
GNW            	Genworth Financial Inc.	US                	40        	Financials	      33.11
GENZ           	Genzyme Corp.	US                	35        	Health Care	      70.65
GILD           	Gilead Sciences	US                	35        	Health Care	      58.91
GDW            	Golden West Financial	US                	40        	Financials	      70.82
GS             	Goldman Sachs Group	US                	40        	Financials	     137.40
GR             	Goodrich Corporation	US                	20        	Industrials	      38.52
GT             	Goodyear Tire & Rubber	US                	25        	Consumer Discretionary	      18.30
GWW            	Grainger (W.W.) Inc.	US                	20        	Industrials	      73.30
GDT            	Guidant Corp.	US                	35        	Health Care	      75.26
HAL            	Halliburton Co.	US                	10        	Energy	      75.15
HDI            	Harley-Davidson	US                	25        	Consumer Discretionary	      54.19
HET            	Harrah's Entertainment	US                	25        	Consumer Discretionary	      73.72
HIG            	Hartford Financial Svc.Gp.	US                	40        	Financials	      85.61
HAS            	Hasbro Inc.	US                	25        	Consumer Discretionary	      21.51
HCA            	HCA Inc.	US                	35        	Health Care	      49.90
HMA            	Health Management Assoc.	US                	35        	Health Care	      20.90
HNZ            	Heinz (H.J.)	US                	30        	Consumer Staples	      33.97
HPC            	Hercules, Inc.	US                	15        	Materials	      11.73
HPQ            	Hewlett-Packard	US                	45        	Information Technology	      31.60
HLT            	Hilton Hotels	US                	25        	Consumer Discretionary	      25.34
HD             	Home Depot	US                	25        	Consumer Discretionary	      40.40
HON            	Honeywell Int'l Inc.	US                	20        	Industrials	      37.41
HSP            	Hospira Inc.	US                	35        	Health Care	      44.35
HUM            	Humana Inc.	US                	35        	Health Care	      54.90
HBAN           	Huntington Bancshares	US                	40        	Financials	      23.76
