Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      71.61
ABT            	Abbott Labs	US                	35        	Health Care	      48.96
ACE            	ACE Limited	US                	40        	Financials	      52.67
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      14.75
ADBE           	Adobe Systems	US                	45        	Information Technology	      31.90
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      24.40
AES            	AES Corp.	US                	55        	Utilities	      20.80
AET            	Aetna Inc.	US                	35        	Health Care	      37.64
ACS            	Affiliated Computer	US                	45        	Information Technology	      51.29
AFL            	AFLAC Inc.	US                	40        	Financials	      44.58
A              	Agilent Technologies	US                	45        	Information Technology	      31.36
APD            	Air Products & Chemicals	US                	15        	Materials	      66.44
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      48.78
AA             	Alcoa Inc	US                	15        	Materials	      28.80
AYE            	Allegheny Energy	US                	55        	Utilities	      41.71
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      58.82
AGN            	Allergan, Inc.	US                	35        	Health Care	     114.97
AW             	Allied Waste Industries	US                	20        	Industrials	      10.14
ALL            	Allstate Corp.	US                	40        	Financials	      57.47
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      54.22
ALTR           	Altera Corp.	US                	45        	Information Technology	      19.95
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      83.53
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      29.52
ABK            	Ambac Financial Group	US                	40        	Financials	      86.56
AEE            	Ameren Corporation	US                	55        	Utilities	      53.09
AEP            	American Electric Power	US                	55        	Utilities	      36.48
AXP            	American Express	US                	40        	Financials	      52.55
AIG            	American Int'l. Group	US                	40        	Financials	      63.60
APCC           	American Power Conversion	US                	20        	Industrials	      17.10
ASD            	American Standard	US                	20        	Industrials	      40.68
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      45.15
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      44.61
AMGN           	Amgen	US                	35        	Health Care	      68.58
ASO            	AmSouth Bancorporation	US                	40        	Financials	      28.64
APC            	Anadarko Petroleum	US                	10        	Energy	      46.38
ADI            	Analog Devices	US                	45        	Information Technology	      30.47
ANDW           	Andrew Corp.	US                	45        	Information Technology	       9.48
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      49.91
AOC            	Aon Corp.	US                	40        	Financials	      34.10
APA            	Apache Corp.	US                	10        	Energy	      66.45
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      51.47
APOL           	Apollo Group	US                	25        	Consumer Discretionary	      50.47
AAPL           	Apple Computer	US                	45        	Information Technology	      66.44
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      30.47
AMAT           	Applied Materials	US                	45        	Information Technology	      16.67
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      41.23
ASN            	Archstone-Smith Trust	US                	40        	Financials	      52.88
ASH            	Ashland Inc.	US                	15        	Materials	      62.64
T              	AT&T Inc.	US                	50        	Telecommunications Services	      31.27
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      33.58
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      47.62
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      19.37
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      88.38
AV             	Avaya Inc.	US                	45        	Information Technology	      10.47
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      61.81
AVP            	Avon Products	US                	30        	Consumer Staples	      28.47
BHI            	Baker Hughes	US                	10        	Energy	      74.47
BLL            	Ball Corp.	US                	15        	Materials	      40.07
BAC            	Bank of America Corp.	US                	40        	Financials	      52.29
BK             	Bank of New York	US                	40        	Financials	      34.07
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      74.35
BRL            	Barr Pharmaceuticals, Inc.	US                	35        	Health Care	      57.30
BOL            	Bausch & Lomb	US                	35        	Health Care	      48.26
BAX            	Baxter International Inc.	US                	35        	Health Care	      44.72
BBT            	BB&T Corporation	US                	40        	Financials	      42.78
BSC            	Bear Stearns Cos.	US                	40        	Financials	     129.85
BDX            	Becton, Dickinson	US                	35        	Health Care	      69.14
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      33.39
BLS            	BellSouth	US                	50        	Telecommunications Services	      40.89
BMS            	Bemis Company	US                	15        	Materials	      32.44
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      46.21
BIG            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      18.30
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      44.32
BMET           	Biomet, Inc.	US                	35        	Health Care	      32.62
BJS            	BJ Services	US                	10        	Energy	      34.79
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      74.48
HRB            	Block H&R	US                	25        	Consumer Discretionary	      20.61
BMC            	BMC Software	US                	45        	Information Technology	      27.00
BA             	Boeing Company	US                	20        	Industrials	      73.78
BXP            	Boston Properties	US                	40        	Financials	     101.32
BSX            	Boston Scientific	US                	35        	Health Care	      17.47
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      21.93
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      28.96
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      75.59
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      28.55
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      65.33
CA             	CA, Inc.	US                	45        	Information Technology	      23.70
CPB            	Campbell Soup	US                	30        	Consumer Staples	      37.54
COF            	Capital One Financial	US                	40        	Financials	      72.01
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      66.01
CMX            	Caremark Rx	US                	35        	Health Care	      57.92
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      40.60
CAT            	Caterpillar Inc.	US                	20        	Industrials	      65.45
CBS            	CBS Corp.	US                	25        	Consumer Discretionary	      28.93
CNP            	CenterPoint Energy	US                	55        	Utilities	      14.48
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      49.82
CTL            	Century Telephone	US                	50        	Telecommunications Services	      39.94
SCHW           	Charles Schwab	US                	40        	Financials	      15.90
CHK            	Chesapeake Energy	US                	10        	Energy	      31.68
CVX            	Chevron Corp.	US                	10        	Energy	      65.74
CME            	Chicago Mercantile Exchange	US                	40        	Financials	     437.45
CB             	Chubb Corp.	US                	40        	Financials	      49.74
CIEN           	Ciena Corp.	US                	45        	Information Technology	       4.26
CI             	CIGNA Corp.	US                	35        	Health Care	     115.13
CINF           	Cincinnati Financial	US                	40        	Financials	      46.33
CTAS           	Cintas Corporation	US                	20        	Industrials	      37.29
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      23.09
CSCO           	Cisco Systems	US                	45        	Information Technology	      21.66
CIT            	CIT Group	US                	40        	Financials	      45.11
C              	Citigroup Inc.	US                	40        	Financials	      49.26
CZN            	Citizens Communications	US                	50        	Telecommunications Services	      13.69
CTXS           	Citrix Systems	US                	45        	Information Technology	      30.40
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      28.76
CLX            	Clorox Co.	US                	30        	Consumer Staples	      59.99
CMS            	CMS Energy	US                	55        	Utilities	      14.53
COH            	Coach, Inc.	US                	25        	Consumer Discretionary	      29.94
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      45.14
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      22.04
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      59.45
CMCSA          	Comcast Corp.	US                	25        	Consumer Discretionary	      35.22
CMA            	Comerica Inc.	US                	40        	Financials	      56.91
CBH            	Commerce Bancorp	US                	40        	Financials	      33.31
CBSS           	Compass Bancshares	US                	40        	Financials	      57.29
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      47.04
CPWR           	Compuware Corp.	US                	45        	Information Technology	       7.59
CMVT           	Comverse Technology	US                	45        	Information Technology	      20.90
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      23.90
COP            	ConocoPhillips	US                	10        	Energy	      64.69
CNX            	CONSOL Energy Inc.	US                	10        	Energy	      37.24
ED             	Consolidated Edison	US                	55        	Utilities	      45.79
STZ            	Constellation Brands	US                	30        	Consumer Staples	      26.86
CEG            	Constellation Energy Group	US                	55        	Utilities	      59.90
CVG            	Convergys Corp.	US                	45        	Information Technology	      19.92
CBE            	Cooper Industries, Ltd.	US                	20        	Industrials	      81.84
GLW            	Corning Inc.	US                	45        	Information Technology	      22.01
COST           	Costco Co.	US                	30        	Consumer Staples	      49.25
CFC            	Countrywide Financial Corp.	US                	40        	Financials	      33.02
CVH            	Coventry Health Care Inc.	US                	35        	Health Care	      55.93
CSX            	CSX Corp.	US                	20        	Industrials	      29.87
CMI            	Cummins  Inc.	US                	20        	Industrials	     114.99
CVS            	CVS Corp.	US                	30        	Consumer Staples	      33.68
DHI            	D.R. Horton	US                	25        	Consumer Discretionary	      21.88
DHR            	Danaher Corp.	US                	20        	Industrials	      67.27
DRI            	Darden Restaurants	US                	25        	Consumer Discretionary	      35.93
DF             	Dean Foods	US                	30        	Consumer Staples	      39.19
DE             	Deere & Co.	US                	20        	Industrials	      74.75
DELL           	Dell Inc.	US                	45        	Information Technology	      22.25
DVN            	Devon Energy Corp.	US                	10        	Energy	      62.20
DDS            	Dillard Inc.	US                	25        	Consumer Discretionary	      31.68
DG             	Dollar General	US                	25        	Consumer Discretionary	      12.29
D              	Dominion Resources	US                	55        	Utilities	      81.32
RRD            	Donnelley (R.R.) & Sons	US                	20        	Industrials	      32.63
DOV            	Dover Corp.	US                	20        	Industrials	      47.84
DOW            	Dow Chemical	US                	15        	Materials	      37.56
DJ             	Dow Jones & Co.	US                	25        	Consumer Discretionary	      35.18
DTE            	DTE Energy Co.	US                	55        	Utilities	      41.80
DD             	Du Pont (E.I.)	US                	15        	Materials	      39.60
DUK            	Duke Energy	US                	55        	Utilities	      29.71
DYN            	Dynegy Inc. (New) Class A	US                	55        	Utilities	       6.20
ET             	E*Trade Financial Corp.	US                	40        	Financials	      23.08
EMN            	Eastman Chemical	US                	15        	Materials	      51.57
EK             	Eastman Kodak	US                	25        	Consumer Discretionary	      20.64
ETN            	Eaton Corp.	US                	20        	Industrials	      65.69
EBAY           	eBay Inc.	US                	45        	Information Technology	      27.17
ECL            	Ecolab Inc.	US                	15        	Materials	      44.80
EIX            	Edison Int'l	US                	55        	Utilities	      43.31
EP             	El Paso Corp.	US                	10        	Energy	      14.57
ERTS           	Electronic Arts	US                	45        	Information Technology	      49.67
EDS            	Electronic Data Systems	US                	45        	Information Technology	      23.69
EQ             	Embarq Corporation	US                	50        	Telecommunications Services	      46.88
EMC            	EMC Corp.	US                	45        	Information Technology	      11.43
EMR            	Emerson Electric	US                	20        	Industrials	      81.96
ETR            	Entergy Corp.	US                	55        	Utilities	      76.95
EOG            	EOG Resources	US                	10        	Energy	      65.63
EFX            	Equifax Inc.	US                	20        	Industrials	      31.55
EOP            	Equity Office Properties	US                	40        	Financials	      36.87
EQR            	Equity Residential	US                	40        	Financials	      49.36
EL             	Estee Lauder Cos.	US                	30        	Consumer Staples	      36.45
EXC            	Exelon Corp.	US                	55        	Utilities	      60.30
ESRX           	Express Scripts	US                	35        	Health Care	      81.65
XOM            	Exxon Mobil Corp.	US                	10        	Energy	      69.41
FDO            	Family Dollar Stores	US                	25        	Consumer Discretionary	      24.15
FNM            	Fannie Mae	US                	40        	Financials	      52.76
FRE            	Federal Home Loan Mtg.	US                	40        	Financials	      64.45
FD             	Federated Dept. Stores	US                	25        	Consumer Discretionary	      38.72
FII            	Federated Investors Inc.	US                	40        	Financials	      32.90
FDX            	FedEx Corporation	US                	20        	Industrials	     100.12
FITB           	Fifth Third Bancorp	US                	40        	Financials	      39.32
FDC            	First Data	US                	45        	Information Technology	      41.65
FHN            	First Horizon National	US                	40        	Financials	      38.47
FE             	FirstEnergy Corp.	US                	55        	Utilities	      56.40
FISV           	FIserv Inc.	US                	45        	Information Technology	      43.37
FSH            	Fisher Scientific	US                	35        	Health Care	      78.38
FLR            	Fluor Corp. (New)	US                	20        	Industrials	      85.12
F              	Ford Motor	US                	25        	Consumer Discretionary	       8.26
FRX            	Forest Laboratories	US                	35        	Health Care	      49.89
FO             	Fortune Brands, Inc.	US                	25        	Consumer Discretionary	      72.33
FPL            	FPL Group	US                	55        	Utilities	      44.45
BEN            	Franklin Resources	US                	40        	Financials	      97.39
FCX            	Freeport-McMoran Cp & Gld	US                	15        	Materials	      57.02
FSL.B          	Freescale Semiconductor Inc.	US                	45        	Information Technology	      30.53
GCI            	Gannett Co.	US                	25        	Consumer Discretionary	      56.22
GPS            	Gap (The)	US                	25        	Consumer Discretionary	      16.96
GD             	General Dynamics	US                	20        	Industrials	      67.99
GE             	General Electric	US                	20        	Industrials	      34.19
GIS            	General Mills	US                	30        	Consumer Staples	      53.88
GM             	General Motors	US                	25        	Consumer Discretionary	      29.45
GPC            	Genuine Parts	US                	25        	Consumer Discretionary	      41.46
GNW            	Genworth Financial Inc.	US                	40        	Financials	      34.01
GENZ           	Genzyme Corp.	US                	35        	Health Care	      66.67
GILD           	Gilead Sciences	US                	35        	Health Care	      63.95
GDW            	Golden West Financial	US                	40        	Financials	      75.98
GS             	Goldman Sachs Group	US                	40        	Financials	     147.09
GR             	Goodrich Corporation	US                	20        	Industrials	      38.91
