Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      79.45
ABT            	Abbott Labs	US                	35        	Health Care	      44.26
ACE            	ACE Limited	US                	40        	Financials	      43.46
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       3.41
ADBE           	Adobe Systems	US                	45        	Information Technology	      37.91
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      14.13
AES            	AES Corp.	US                	55        	Utilities	       8.97
AET            	Aetna Inc. (New)	US                	35        	Health Care	      71.47
AFL            	AFLAC Corporation	US                	40        	Financials	      38.96
A              	Agilent Technologies	US                	45        	Information Technology	      35.30
APD            	Air Products & Chemicals	US                	15        	Materials	      48.62
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      61.35
ABS            	Albertson's	US                	30        	Consumer Staples	      23.55
AA             	Alcoa Inc	US                	15        	Materials	      34.00
AYE            	Allegheny Energy	US                	55        	Utilities	      12.50
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       8.72
AGN            	Allergan, Inc.	US                	35        	Health Care	      85.89
AW             	Allied Waste Industries	US                	20        	Industrials	      13.69
ALL            	Allstate Corp.	US                	40        	Financials	      44.79
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      49.70
ALTR           	Altera Corp.	US                	45        	Information Technology	      21.42
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      54.96
ABK            	Ambac Financial Group	US                	40        	Financials	      76.59
AHC            	Amerada Hess	US                	10        	Energy	      57.24
AEE            	Ameren Corporation	US                	55        	Utilities	      46.31
AEP            	American Electric Power	US                	55        	Utilities	      33.33
AXP            	American Express	US                	40        	Financials	      52.26
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      21.24
AIG            	American Int'l. Group	US                	40        	Financials	      70.15
APCC           	American Power Conversion	US                	20        	Industrials	      24.92
ASD            	American Standard	US                	20        	Industrials	     104.40
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      55.64
AMGN           	Amgen	US                	35        	Health Care	      65.35
ASO            	AmSouth Bancorporation	US                	40        	Financials	      24.36
APC            	Anadarko Petroleum	US                	10        	Energy	      49.68
ADI            	Analog Devices	US                	45        	Information Technology	      45.78
ANDW           	Andrew Corp.	US                	45        	Information Technology	      17.02
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      51.88
ATH            	Anthem, Inc.	US                	35        	Health Care	      83.55
AOC            	Aon Corp.	US                	40        	Financials	      24.29
APA            	Apache Corp.	US                	10        	Energy	      37.85
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      34.95
APOL           	Apollo Group	US                	20        	Industrials	      76.53
AAPL           	Apple Computer	US                	45        	Information Technology	      21.79
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      23.07
AMAT           	Applied Materials	US                	45        	Information Technology	      21.35
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       6.77
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      16.60
ASH            	Ashland Inc.	US                	10        	Energy	      45.04
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      19.14
AWE            	AT&T Wireless Services	US                	50        	Telecommunications Services	      11.13
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      25.10
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      42.68
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      16.29
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      86.25
AV             	Avaya Inc.	US                	45        	Information Technology	      17.27
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      62.56
AVP            	Avon Products	US                	30        	Consumer Staples	      68.29
BHI            	Baker Hughes	US                	10        	Energy	      35.45
BLL            	Ball Corp.	US                	15        	Materials	      63.75
BAC            	Bank of America Corp.	US                	40        	Financials	      81.70
BK             	Bank of New York	US                	40        	Financials	      31.09
ONE            	Bank One Corp.	US                	40        	Financials	      50.67
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      93.96
BOL            	Bausch & Lomb	US                	35        	Health Care	      54.53
BAX            	Baxter International Inc.	US                	35        	Health Care	      30.07
BBT            	BB&T Corporation	US                	40        	Financials	      36.90
BSC            	Bear Stearns Cos.	US                	40        	Financials	      81.75
BDX            	Becton, Dickinson	US                	35        	Health Care	      46.31
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      41.54
BLS            	BellSouth	US                	50        	Telecommunications Services	      29.41
BMS            	Bemis Company	US                	15        	Materials	      48.01
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      50.25
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      14.23
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      43.38
BMET           	Biomet, Inc.	US                	35        	Health Care	      39.92
BJS            	BJ Services	US                	10        	Energy	      39.50
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      50.71
HRB            	Block H&R	US                	20        	Industrials	      58.06
BMC            	BMC Software	US                	45        	Information Technology	      19.47
BA             	Boeing Company	US                	20        	Industrials	      43.56
BCC            	Boise Cascade	US                	25        	Consumer Discretionary	      31.27
BSX            	Boston Scientific	US                	35        	Health Care	      41.88
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      28.45
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      38.30
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      46.74
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      35.83
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      31.81
BR             	Burlington Resources	US                	10        	Energy	      53.85
CPN            	Calpine Corp.	US                	55        	Utilities	       5.62
CPB            	Campbell Soup	US                	30        	Consumer Staples	      26.80
COF            	Capital One Financial	US                	40        	Financials	      70.57
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      64.95
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      43.35
CAT            	Caterpillar Inc.	US                	20        	Industrials	      75.90
CD             	Cendant Corporation	US                	20        	Industrials	      22.74
CNP            	CenterPoint Energy	US                	55        	Utilities	      10.24
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      94.45
CTL            	Century Telephone	US                	50        	Telecommunications Services	      27.42
SCH            	Charles Schwab	US                	40        	Financials	      12.10
CF             	Charter One Financial	US                	40        	Financials	      35.16
CVX            	ChevronTexaco Corp.	US                	10        	Energy	      85.15
CHIR           	Chiron Corp.	US                	35        	Health Care	      52.66
