Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      77.50
ABT            	Abbott Labs	US                	35        	Health Care	      39.43
ACE            	ACE Limited	US                	40        	Financials	      53.44
ADCT           	ADC Telecommunications	US                	45        	Information Technology	      22.34
ADBE           	Adobe Systems	US                	45        	Information Technology	      36.96
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      30.60
AES            	AES Corp.	US                	55        	Utilities	      15.83
AET            	Aetna Inc. (New)	US                	35        	Health Care	      94.31
ACS            	Affiliated Computer	US                	45        	Information Technology	      59.18
AFL            	AFLAC Inc.	US                	40        	Financials	      46.42
A              	Agilent Technologies	US                	45        	Information Technology	      33.29
APD            	Air Products & Chemicals	US                	15        	Materials	      59.19
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      45.75
ABS            	Albertson's	US                	30        	Consumer Staples	      21.35
AA             	Alcoa Inc	US                	15        	Materials	      29.57
AYE            	Allegheny Energy	US                	55        	Utilities	      31.65
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      36.08
AGN            	Allergan, Inc.	US                	35        	Health Care	     107.96
AW             	Allied Waste Industries	US                	20        	Industrials	       8.74
ALL            	Allstate Corp.	US                	40        	Financials	      54.07
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      63.10
ALTR           	Altera Corp.	US                	45        	Information Technology	      18.53
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      74.72
AMZN           	Amazon Corp.	US                	25        	Consumer Discretionary	      47.15
ABK            	Ambac Financial Group	US                	40        	Financials	      77.06
AHC            	Amerada Hess	US                	10        	Energy	     126.82
AEE            	Ameren Corporation	US                	55        	Utilities	      51.24
AEP            	American Electric Power	US                	55        	Utilities	      37.09
AXP            	American Express	US                	40        	Financials	      51.46
AIG            	American Int'l. Group	US                	40        	Financials	      68.23
APCC           	American Power Conversion	US                	20        	Industrials	      22.00
ASD            	American Standard	US                	20        	Industrials	      39.95
AMP            	Ameriprise Financial, Inc.	US                	40        	Financials	      41.00
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      41.40
AMGN           	Amgen	US                	35        	Health Care	      78.86
ASO            	AmSouth Bancorporation	US                	40        	Financials	      26.21
APC            	Anadarko Petroleum	US                	10        	Energy	      94.75
ADI            	Analog Devices	US                	45        	Information Technology	      35.87
ANDW           	Andrew Corp.	US                	45        	Information Technology	      10.73
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      42.96
AOC            	Aon Corp.	US                	40        	Financials	      35.95
APA            	Apache Corp.	US                	10        	Energy	      68.52
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      37.87
APOL           	Apollo Group	US                	25        	Consumer Discretionary	      60.46
AAPL           	Apple Computer	US                	45        	Information Technology	      71.89
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      26.56
AMAT           	Applied Materials	US                	45        	Information Technology	      17.94
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       2.57
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      24.66
ASN            	Archstone-Smith Trust	US                	40        	Financials	      41.89
ASH            	Ashland Inc.	US                	15        	Materials	      57.90
T              	AT&T Inc.	US                	50        	Telecommunications Services	      24.49
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      42.95
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      45.89
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      21.73
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      91.75
AV             	Avaya Inc.	US                	45        	Information Technology	      10.67
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      55.27
AVP            	Avon Products	US                	30        	Consumer Staples	      28.55
BHI            	Baker Hughes	US                	10        	Energy	      60.78
BLL            	Ball Corp.	US                	15        	Materials	      39.72
BAC            	Bank of America Corp.	US                	40        	Financials	      46.15
BK             	Bank of New York	US                	40        	Financials	      31.85
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      65.92
BOL            	Bausch & Lomb	US                	35        	Health Care	      67.90
BAX            	Baxter International Inc.	US                	35        	Health Care	      37.65
BBT            	BB&T Corporation	US                	40        	Financials	      41.91
BSC            	Bear Stearns Cos.	US                	40        	Financials	     115.53
BDX            	Becton, Dickinson	US                	35        	Health Care	      60.08
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      36.15
