Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      80.74
ABT            	Abbott Labs	US                	35        	Health Care	      44.96
ACE            	ACE Limited	US                	40        	Financials	      38.71
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.65
ADBE           	Adobe Systems	US                	45        	Information Technology	      38.90
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      16.07
AES            	AES Corp.	US                	55        	Utilities	       8.13
AET            	Aetna Inc. (New)	US                	35        	Health Care	      64.26
AFL            	AFLAC Corporation	US                	40        	Financials	      35.47
A              	Agilent Technologies	US                	45        	Information Technology	      26.92
APD            	Air Products & Chemicals	US                	15        	Materials	      50.10
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      61.90
ABS            	Albertson's	US                	30        	Consumer Staples	      20.31
AA             	Alcoa Inc	US                	15        	Materials	      34.98
AYE            	Allegheny Energy	US                	55        	Utilities	      10.68
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       8.75
AGN            	Allergan, Inc.	US                	35        	Health Care	      76.08
AW             	Allied Waste Industries	US                	20        	Industrials	      12.30
ALL            	Allstate Corp.	US                	40        	Financials	      40.71
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      44.95
ALTR           	Altera Corp.	US                	45        	Information Technology	      23.43
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      51.42
ABK            	Ambac Financial Group	US                	40        	Financials	      70.68
AHC            	Amerada Hess	US                	10        	Energy	      46.99
AEE            	Ameren Corporation	US                	55        	Utilities	      44.83
AEP            	American Electric Power	US                	55        	Utilities	      28.41
AXP            	American Express	US                	40        	Financials	      45.50
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      21.32
AIG            	American Int'l. Group	US                	40        	Financials	      58.63
APCC           	American Power Conversion	US                	20        	Industrials	      22.14
ASD            	American Standard	US                	20        	Industrials	     100.45
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      65.00
AMGN           	Amgen	US                	35        	Health Care	      58.15
ASO            	AmSouth Bancorporation	US                	40        	Financials	      23.75
APC            	Anadarko Petroleum	US                	10        	Energy	      47.81
ADI            	Analog Devices	US                	45        	Information Technology	      47.16
ANDW           	Andrew Corp.	US                	45        	Information Technology	      10.98
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      52.61
ATH            	Anthem, Inc.	US                	35        	Health Care	      72.70
AOC            	Aon Corp.	US                	40        	Financials	      22.55
APA            	Apache Corp.	US                	10        	Energy	      75.75
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      34.01
APOL           	Apollo Group	US                	20        	Industrials	      66.49
AAPL           	Apple Computer	US                	45        	Information Technology	      20.85
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      20.22
AMAT           	Applied Materials	US                	45        	Information Technology	      22.30
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       6.09
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      14.60
ASH            	Ashland Inc.	US                	10        	Energy	      40.80
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      20.15
AWE            	AT&T Wireless Services	US                	50        	Telecommunications Services	       7.27
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      23.49
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      38.86
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      17.32
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      91.63
AV             	Avaya Inc.	US                	45        	Information Technology	      12.73
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      55.16
AVP            	Avon Products	US                	30        	Consumer Staples	      68.07
BHI            	Baker Hughes	US                	10        	Energy	      30.14
BLL            	Ball Corp.	US                	15        	Materials	      58.05
BAC            	Bank of America Corp.	US                	40        	Financials	      75.11
BK             	Bank of New York	US                	40        	Financials	      31.30
ONE            	Bank One Corp.	US                	40        	Financials	      44.41
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      77.28
BOL            	Bausch & Lomb	US                	35        	Health Care	      51.55
BAX            	Baxter International Inc.	US                	35        	Health Care	      28.20
BBT            	BB&T Corporation	US                	40        	Financials	      38.33
BSC            	Bear Stearns Cos.	US                	40        	Financials	      72.86
BDX            	Becton, Dickinson	US                	35        	Health Care	      39.92
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      42.06
BLS            	BellSouth	US                	50        	Telecommunications Services	      27.36
BMS            	Bemis Company	US                	15        	Materials	      47.33
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      54.09
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      13.49
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      38.27
BMET           	Biomet, Inc.	US                	35        	Health Care	      35.92
BJS            	BJ Services	US                	10        	Energy	      35.00
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      47.09
HRB            	Block H&R	US                	20        	Industrials	      52.67
BMC            	BMC Software	US                	45        	Information Technology	      16.42
BA             	Boeing Company	US                	20        	Industrials	      38.00
BCC            	Boise Cascade	US                	15        	Materials	      30.20
BSX            	Boston Scientific	US                	35        	Health Care	      35.41
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      26.25
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      34.39
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      92.14
