Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	     126.40
ABT            	Abbott Labs	US                	35        	Health Care	      45.21
ACE            	ACE Limited	US                	40        	Financials	      35.61
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.83
ADBE           	Adobe Systems	US                	45        	Information Technology	      37.29
AMD            	Advanced Micro Devices	US                	45        	Information Technology	       6.93
AES            	AES Corp.	US                	55        	Utilities	       7.83
AET            	Aetna Inc. (New)	US                	35        	Health Care	      61.85
AFL            	AFLAC Corporation	US                	40        	Financials	      32.05
A              	Agilent Technologies	US                	45        	Information Technology	      19.31
APD            	Air Products & Chemicals	US                	15        	Materials	      43.52
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      50.44
ABS            	Albertson's	US                	30        	Consumer Staples	      19.20
AA             	Alcoa Inc	US                	15        	Materials	      25.93
AYE            	Allegheny Energy	US                	55        	Utilities	       8.95
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       7.09
AGN            	Allergan, Inc.	US                	35        	Health Care	      77.24
AW             	Allied Waste Industries	US                	20        	Industrials	       9.70
ALL            	Allstate Corp.	US                	40        	Financials	      36.06
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      47.33
ALTR           	Altera Corp.	US                	45        	Information Technology	      18.88
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      43.50
ABK            	Ambac Financial Group	US                	40        	Financials	      68.05
AHC            	Amerada Hess	US                	10        	Energy	      48.87
AEE            	Ameren Corporation	US                	55        	Utilities	      45.18
AEP            	American Electric Power	US                	55        	Utilities	      29.50
AXP            	American Express	US                	40        	Financials	      43.18
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      17.39
AIG            	American Int'l. Group	US                	40        	Financials	      58.27
APCC           	American Power Conversion	US                	20        	Industrials	      17.11
ASD            	American Standard	US                	20        	Industrials	      78.68
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      69.04
AMGN           	Amgen	US                	35        	Health Care	      63.45
ASO            	AmSouth Bancorporation	US                	40        	Financials	      23.10
APC            	Anadarko Petroleum	US                	10        	Energy	      44.46
ADI            	Analog Devices	US                	45        	Information Technology	      38.53
ANDW           	Andrew Corp.	US                	45        	Information Technology	       9.83
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      52.63
ATH            	Anthem, Inc.	US                	35        	Health Care	      74.15
AOL            	AOL Time Warner Inc.	US                	25        	Consumer Discretionary	      15.15
AOC            	Aon Corp.	US                	40        	Financials	      26.45
APA            	Apache Corp.	US                	10        	Energy	      65.68
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      36.41
APOL           	Apollo Group	US                	20        	Industrials	      58.68
AAPL           	Apple Computer	US                	45        	Information Technology	      17.16
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      19.09
AMAT           	Applied Materials	US                	45        	Information Technology	      16.34
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       6.45
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      12.50
ASH            	Ashland Inc.	US                	10        	Energy	      32.90
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      19.37
AWE            	AT&T Wireless Services	US                	50        	Telecommunications Services	       7.57
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      15.52
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      35.12
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      15.46
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      81.87
AV             	Avaya Inc.	US                	45        	Information Technology	       7.91
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      54.60
AVP            	Avon Products	US                	30        	Consumer Staples	      62.15
BHI            	Baker Hughes	US                	10        	Energy	      34.02
BLL            	Ball Corp.	US                	15        	Materials	      47.01
BAC            	Bank of America Corp.	US                	40        	Financials	      76.92
BK             	Bank of New York	US                	40        	Financials	      29.38
ONE            	Bank One Corp.	US                	40        	Financials	      39.01
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      71.57
BOL            	Bausch & Lomb	US                	35        	Health Care	      40.31
BAX            	Baxter International Inc.	US                	35        	Health Care	      26.09
BBT            	BB&T Corporation	US                	40        	Financials	      35.09
BSC            	Bear Stearns Cos.	US                	40        	Financials	      79.50
BDX            	Becton, Dickinson	US                	35        	Health Care	      40.19
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      42.86
BLS            	BellSouth	US                	50        	Telecommunications Services	      26.90
BMS            	Bemis Company	US                	15        	Materials	      46.76
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      41.87
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      14.20
BGEN           	Biogen Inc.	US                	35        	Health Care	      46.49
BMET           	Biomet, Inc.	US                	35        	Health Care	      28.79
BJS            	BJ Services	US                	10        	Energy	      39.05
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      43.73
HRB            	Block H&R	US                	20        	Industrials	      44.79
BMC            	BMC Software	US                	45        	Information Technology	      17.80
BA             	Boeing Company	US                	20        	Industrials	      34.86
BCC            	Boise Cascade	US                	15        	Materials	      25.52
BSX            	Boston Scientific	US                	35        	Health Care	      56.06
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      26.93
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      26.06
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      79.51
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      24.15
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      29.27
BR             	Burlington Resources	US                	10        	Energy	      54.24
CPN            	Calpine Corp.	US                	55        	Utilities	       5.56
CPB            	Campbell Soup	US                	30        	Consumer Staples	      25.45
COF            	Capital One Financial	US                	40        	Financials	      52.65
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      64.46
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      31.45
CAT            	Caterpillar Inc.	US                	20        	Industrials	      54.61
CD             	Cendant Corporation	US                	20        	Industrials	      17.18
CNP            	CenterPoint Energy	US                	55        	Utilities	       9.27
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      80.43
CTL            	Century Telephone	US                	50        	Telecommunications Services	      34.03
SCH            	Charles Schwab	US                	40        	Financials	      10.84
