Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      82.07
ABT            	Abbott Labs	US                	35        	Health Care	      46.65
ACE            	ACE Limited	US                	40        	Financials	      42.75
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       2.68
ADBE           	Adobe Systems	US                	45        	Information Technology	      62.74
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      22.02
AES            	AES Corp.	US                	55        	Utilities	      13.67
AET            	Aetna Inc. (New)	US                	35        	Health Care	     124.75
ACS            	Affiliated Computer	US                	45        	Information Technology	      60.19
AFL            	AFLAC Inc.	US                	40        	Financials	      39.84
A              	Agilent Technologies	US                	45        	Information Technology	      24.10
APD            	Air Products & Chemicals	US                	15        	Materials	      57.97
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      48.57
ABS            	Albertson's	US                	30        	Consumer Staples	      23.88
AA             	Alcoa Inc	US                	15        	Materials	      31.42
AYE            	Allegheny Energy	US                	55        	Utilities	      19.71
ATI            	Allegheny Technologies Inc	US                	15        	Materials	      21.67
AGN            	Allergan, Inc.	US                	35        	Health Care	      81.07
AW             	Allied Waste Industries	US                	20        	Industrials	       9.28
ALL            	Allstate Corp.	US                	40        	Financials	      51.72
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      58.76
ALTR           	Altera Corp.	US                	45        	Information Technology	      20.70
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      61.10
ABK            	Ambac Financial Group	US                	40        	Financials	      82.13
AHC            	Amerada Hess	US                	10        	Energy	      82.38
AEE            	Ameren Corporation	US                	55        	Utilities	      50.14
AEP            	American Electric Power	US                	55        	Utilities	      34.34
AXP            	American Express	US                	40        	Financials	      56.37
AIG            	American Int'l. Group	US                	40        	Financials	      65.67
APCC           	American Power Conversion	US                	20        	Industrials	      21.40
ASD            	American Standard	US                	20        	Industrials	      41.32
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      58.68
AMGN           	Amgen	US                	35        	Health Care	      64.15
ASO            	AmSouth Bancorporation	US                	40        	Financials	      25.90
APC            	Anadarko Petroleum	US                	10        	Energy	      64.81
ADI            	Analog Devices	US                	45        	Information Technology	      36.92
ANDW           	Andrew Corp.	US                	45        	Information Technology	      13.63
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      50.73
AOC            	Aon Corp.	US                	40        	Financials	      23.86
APA            	Apache Corp.	US                	10        	Energy	      50.57
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      38.54
APOL           	Apollo Group	US                	20        	Industrials	      80.71
AAPL           	Apple Computer	US                	45        	Information Technology	      64.40
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      20.91
AMAT           	Applied Materials	US                	45        	Information Technology	      17.10
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       4.21
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      22.31
ASN            	Archstone-Smith Trust	US                	40        	Financials	      38.30
ASH            	Ashland Inc.	US                	10        	Energy	      58.38
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      19.06
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      37.95
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      44.35
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      19.21
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      91.31
AV             	Avaya Inc.	US                	45        	Information Technology	      17.20
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      59.97
AVP            	Avon Products	US                	30        	Consumer Staples	      38.70
BHI            	Baker Hughes	US                	10        	Energy	      42.67
BLL            	Ball Corp.	US                	15        	Materials	      43.98
BAC            	Bank of America Corp.	US                	40        	Financials	      46.99
BK             	Bank of New York	US                	40        	Financials	      33.42
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      63.98
BOL            	Bausch & Lomb	US                	35        	Health Care	      64.46
BAX            	Baxter International Inc.	US                	35        	Health Care	      34.54
BBT            	BB&T Corporation	US                	40        	Financials	      42.05
BSC            	Bear Stearns Cos.	US                	40        	Financials	     102.31
BDX            	Becton, Dickinson	US                	35        	Health Care	      56.80
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      39.83
BLS            	BellSouth	US                	50        	Telecommunications Services	      27.79
BMS            	Bemis Company	US                	15        	Materials	      29.09
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      59.42
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      12.13
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      66.61
BMET           	Biomet, Inc.	US                	35        	Health Care	      43.39
BJS            	BJ Services	US                	10        	Energy	      46.54
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      88.33
HRB            	Block H&R	US                	20        	Industrials	      49.00
BMC            	BMC Software	US                	45        	Information Technology	      18.60
BA             	Boeing Company	US                	20        	Industrials	      51.77
BSX            	Boston Scientific	US                	35        	Health Care	      35.55
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      25.62
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      32.28
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      48.68
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      49.50
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      47.31
BR             	Burlington Resources	US                	10        	Energy	      43.50
CPN            	Calpine Corp.	US                	55        	Utilities	       3.94
CPB            	Campbell Soup	US                	30        	Consumer Staples	      29.89
COF            	Capital One Financial	US                	40        	Financials	      84.21
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      58.15
CMX            	Caremark Rx	US                	35        	Health Care	      39.43
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      57.63
CAT            	Caterpillar Inc.	US                	20        	Industrials	      97.51
CD             	Cendant Corporation	US                	20        	Industrials	      23.38
CNP            	CenterPoint Energy	US                	55        	Utilities	      11.30
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      59.58
CTL            	Century Telephone	US                	50        	Telecommunications Services	      35.47
SCH            	Charles Schwab	US                	40        	Financials	      11.96
CVX            	ChevronTexaco Corp.	US                	10        	Energy	      52.51
CHIR           	Chiron Corp.	US                	35        	Health Care	      33.33
CB             	Chubb Corp.	US                	40        	Financials	      76.90
CIEN           	Ciena Corp.	US                	45        	Information Technology	       3.34
CI             	CIGNA Corp.	US                	35        	Health Care	      81.57
CINF           	Cincinnati Financial	US                	40        	Financials	      44.26
CIN            	CINergy Corp.	US                	55        	Utilities	      41.63
CTAS           	Cintas Corporation	US                	20        	Industrials	      43.86
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      15.64
CSCO           	Cisco Systems	US                	45        	Information Technology	      19.30
CIT            	CIT Group	US                	40        	Financials	      45.82
C              	Citigroup Inc.	US                	40        	Financials	      48.18
CZN            	Citizens Communications	US                	50        	Telecommunications Services	      13.79
CTXS           	Citrix Systems	US                	45        	Information Technology	      24.53
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      33.49
CLX            	Clorox Co.	US                	30        	Consumer Staples	      58.93
CMS            	CMS Energy	US                	55        	Utilities	      10.45
COH            	Coach, Inc.	US                	25        	Consumer Discretionary	      56.40
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      41.63
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      20.85
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      51.16
CMCSA          	Comcast Corp.	US                	25        	Consumer Discretionary	      33.28
CMA            	Comerica Inc.	US                	40        	Financials	      61.02
CBSS           	Compass Bancshares	US                	40        	Financials	      48.67
CA             	Computer Associates Intl.	US                	45        	Information Technology	      31.06
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      56.37
CPWR           	Compuware Corp.	US                	45        	Information Technology	       6.47
CMVT           	Comverse Technology	US                	45        	Information Technology	      24.45
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      29.45
COP            	ConocoPhillips	US                	10        	Energy	      86.83
ED             	Consolidated Edison	US                	55        	Utilities	      43.75
CEG            	Constellation Energy Group	US                	55        	Utilities	      43.71
CVG            	Convergys Corp.	US                	45        	Information Technology	      14.99
CBE            	Cooper Industries, Ltd.	US                	20        	Industrials	      67.89
CTB            	Cooper Tire & Rubber	US                	25        	Consumer Discretionary	      21.55
RKY            	Coors (Adolph)	US                	30        	Consumer Staples	      75.67
GLW            	Corning Inc.	US                	45        	Information Technology	      11.77
COST           	Costco Co.	US                	30        	Consumer Staples	      48.41
CFC            	Countrywide Financial Corp.	US                	40        	Financials	      37.01
CSX            	CSX Corp.	US                	20        	Industrials	      40.08
CMI            	Cummins  Inc.	US                	20        	Industrials	      83.79
CVS            	CVS Corp.	US                	30        	Consumer Staples	      45.07
DCN            	Dana Corp.	US                	25        	Consumer Discretionary	      17.33
DHR            	Danaher Corp.	US                	20        	Industrials	      57.41
DRI            	Darden Restaurants	US                	25        	Consumer Discretionary	      27.74
DE             	Deere & Co.	US                	20        	Industrials	      74.40
DELL           	Dell Inc.	US                	45        	Information Technology	      42.14
DPH            	Delphi Corporation	US                	25        	Consumer Discretionary	       9.02
DAL            	Delta Air Lines	US                	20        	Industrials	       7.48
DVN            	Devon Energy Corp.	US                	10        	Energy	      38.92
DDS            	Dillard Inc.	US                	25        	Consumer Discretionary	      26.87
DG             	Dollar General	US                	25        	Consumer Discretionary	      20.77
D              	Dominion Resources	US                	55        	Utilities	      67.74
RRD            	Donnelley (R.R.) & Sons	US                	20        	Industrials	      35.29
DOV            	Dover Corp.	US                	20        	Industrials	      41.94
DOW            	Dow Chemical	US                	15        	Materials	      49.51
DJ             	Dow Jones & Co.	US                	25        	Consumer Discretionary	      43.06
DTE            	DTE Energy Co.	US                	55        	Utilities	      43.13
DD             	Du Pont (E.I.)	US                	15        	Materials	      49.05
DUK            	Duke Energy	US                	55        	Utilities	      25.33
DYN            	Dynegy Inc. (New) Class A	US                	55        	Utilities	       4.62
ET             	E*Trade Financial Corp.	US                	40        	Financials	      14.95
EMN            	Eastman Chemical	US                	15        	Materials	      57.73
EK             	Eastman Kodak	US                	25        	Consumer Discretionary	      32.25
ETN            	Eaton Corp.	US                	20        	Industrials	      72.36
EBAY           	eBay Inc.	US                	25        	Consumer Discretionary	     116.28
ECL            	Ecolab Inc.	US                	15        	Materials	      35.13
EIX            	Edison Int'l	US                	55        	Utilities	      32.03
EP             	El Paso Corp.	US                	10        	Energy	      10.40
ERTS           	Electronic Arts	US                	45        	Information Technology	      61.68
EDS            	Electronic Data Systems	US                	45        	Information Technology	      23.10
EMC            	EMC Corp.	US                	45        	Information Technology	      14.87
EMR            	Emerson Electric	US                	20        	Industrials	      70.10
EC             	Engelhard Corp.	US                	15        	Materials	      30.67
ETR            	Entergy Corp.	US                	55        	Utilities	      67.59
EOG            	EOG Resources	US                	10        	Energy	      71.36
EFX            	Equifax Inc.	US                	20        	Industrials	      28.10
EOP            	Equity Office Properties	US                	40        	Financials	      29.12
EQR            	Equity Residential	US                	40        	Financials	      36.18
EXC            	Exelon Corp.	US                	55        	Utilities	      44.07
ESRX           	Express Scripts	US                	35        	Health Care	      76.44
XOM            	Exxon Mobil Corp.	US                	10        	Energy	      51.26
FDO            	Family Dollar Stores	US                	25        	Consumer Discretionary	      31.23
FNM            	Fannie Mae	US                	40        	Financials	      71.21
FRE            	Federal Home Loan Mtg.	US                	40        	Financials	      73.70
FD             	Federated Dept. Stores	US                	25        	Consumer Discretionary	      57.79
FII            	Federated Investors Inc.	US                	40        	Financials	      30.40
FDX            	FedEx Corporation	US                	20        	Industrials	      98.49
FITB           	Fifth Third Bancorp	US                	40        	Financials	      47.28
FDC            	First Data	US                	45        	Information Technology	      42.54
FHN            	First Horizon National	US                	40        	Financials	      43.11
FE             	FirstEnergy Corp.	US                	55        	Utilities	      39.51
FISV           	FIserv Inc.	US                	45        	Information Technology	      40.19
FSH            	Fisher Scientific	US                	35        	Health Care	      62.38
FLR            	Fluor Corp. (New)	US                	20        	Industrials	      54.51
F              	Ford Motor	US                	25        	Consumer Discretionary	      14.64
FRX            	Forest Laboratories	US                	35        	Health Care	      44.86
FO             	Fortune Brands, Inc.	US                	25        	Consumer Discretionary	      77.18
FPL            	FPL Group	US                	55        	Utilities	      74.75
BEN            	Franklin Resources	US                	40        	Financials	      69.65
FCX            	Freeport-McMoran Cp & Gld	US                	15        	Materials	      38.23
FSL.B          	Freescale Semiconductor Inc.	US                	45        	Information Technology	      18.36
GCI            	Gannett Co.	US                	25        	Consumer Discretionary	      81.70
GPS            	Gap (The)	US                	25        	Consumer Discretionary	      21.12
GTW            	Gateway Inc.	US                	45        	Information Technology	       6.01
GD             	General Dynamics	US                	20        	Industrials	     104.60
GE             	General Electric	US                	20        	Industrials	      36.50
GIS            	General Mills	US                	30        	Consumer Staples	      49.71
GM             	General Motors	US                	25        	Consumer Discretionary	      40.06
GPC            	Genuine Parts	US                	25        	Consumer Discretionary	      44.06
GENZ           	Genzyme Corp.	US                	35        	Health Care	      58.07
GP             	Georgia-Pacific Group	US                	15        	Materials	      37.48
GILD           	Gilead Sciences	US                	35        	Health Care	      34.99
G              	Gillette Co.	US                	30        	Consumer Staples	      44.78
GDW            	Golden West Financial	US                	40        	Financials	      61.42
GS             	Goldman Sachs Group	US                	40        	Financials	     104.04
GR             	Goodrich Corporation	US                	20        	Industrials	      32.64
GT             	Goodyear Tire & Rubber	US                	25        	Consumer Discretionary	      14.66
GWW            	Grainger (W.W.) Inc.	US                	20        	Industrials	      66.62
GLK            	Great Lakes Chemical	US                	15        	Materials	      28.49
GDT            	Guidant Corp.	US                	35        	Health Care	      72.10
HAL            	Halliburton Co.	US                	10        	Energy	      39.24
HDI            	Harley-Davidson	US                	25        	Consumer Discretionary	      60.75
HET            	Harrah's Entertainment	US                	25        	Consumer Discretionary	      66.89
HIG            	Hartford Financial Svc.Gp.	US                	40        	Financials	      69.31
HAS            	Hasbro Inc.	US                	25        	Consumer Discretionary	      19.38
HCA            	HCA Inc.	US                	35        	Health Care	      39.96
HMA            	Health Management Assoc.	US                	35        	Health Care	      22.72
HNZ            	Heinz (H.J.)	US                	30        	Consumer Staples	      38.99
HPC            	Hercules, Inc.	US                	15        	Materials	      14.85
HSY            	Hershey Foods	US                	30        	Consumer Staples	      55.54
