Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20        	Industrials	      79.39
ABT            	Abbott Labs	US                	35        	Health Care	      44.36
ACE            	ACE Limited	US                	40        	Financials	      44.58
ADCT           	ADC Telecommunications	US                	45        	Information Technology	       3.28
ADBE           	Adobe Systems	US                	45        	Information Technology	      39.06
AMD            	Advanced Micro Devices	US                	45        	Information Technology	      15.06
AES            	AES Corp.	US                	55        	Utilities	       9.66
AET            	Aetna Inc. (New)	US                	35        	Health Care	      71.13
AFL            	AFLAC Corporation	US                	40        	Financials	      40.11
A              	Agilent Technologies	US                	45        	Information Technology	      37.10
APD            	Air Products & Chemicals	US                	15        	Materials	      50.00
ACV            	Alberto-Culver	US                	30        	Consumer Staples	      62.30
ABS            	Albertson's	US                	30        	Consumer Staples	      23.13
AA             	Alcoa Inc	US                	15        	Materials	      34.94
AYE            	Allegheny Energy	US                	55        	Utilities	      13.38
ATI            	Allegheny Technologies Inc	US                	15        	Materials	       9.69
AGN            	Allergan, Inc.	US                	35        	Health Care	      87.00
AW             	Allied Waste Industries	US                	20        	Industrials	      14.02
ALL            	Allstate Corp.	US                	40        	Financials	      46.31
AT             	ALLTEL Corp.	US                	50        	Telecommunications Services	      50.11
ALTR           	Altera Corp.	US                	45        	Information Technology	      22.70
MO             	Altria Group, Inc.	US                	30        	Consumer Staples	      54.43
ABK            	Ambac Financial Group	US                	40        	Financials	      76.80
AHC            	Amerada Hess	US                	10        	Energy	      58.10
AEE            	Ameren Corporation	US                	55        	Utilities	      46.60
AEP            	American Electric Power	US                	55        	Utilities	      32.94
AXP            	American Express	US                	40        	Financials	      53.11
AM             	American Greetings Class A	US                	25        	Consumer Discretionary	      21.42
AIG            	American Int'l. Group	US                	40        	Financials	      71.83
APCC           	American Power Conversion	US                	20        	Industrials	      22.60
ASD            	American Standard	US                	20        	Industrials	     106.22
ABC            	AmerisourceBergen Corp.	US                	35        	Health Care	      56.03
AMGN           	Amgen	US                	35        	Health Care	      64.19
ASO            	AmSouth Bancorporation	US                	40        	Financials	      24.52
APC            	Anadarko Petroleum	US                	10        	Energy	      50.47
ADI            	Analog Devices	US                	45        	Information Technology	      48.09
ANDW           	Andrew Corp.	US                	45        	Information Technology	      17.20
BUD            	Anheuser-Busch	US                	30        	Consumer Staples	      51.74
ATH            	Anthem, Inc.	US                	35        	Health Care	      82.78
AOC            	Aon Corp.	US                	40        	Financials	      24.80
APA            	Apache Corp.	US                	10        	Energy	      38.39
AIV            	Apartment Investment & Mgmt'A'	US                	40        	Financials	      35.15
APOL           	Apollo Group	US                	20        	Industrials	      76.50
AAPL           	Apple Computer	US                	45        	Information Technology	      22.68
ABI            	Applera Corp-Applied Biosystems Group	US                	35        	Health Care	      23.35
AMAT           	Applied Materials	US                	45        	Information Technology	      22.04
AMCC           	Applied Micro Circuits	US                	45        	Information Technology	       6.89
ADM            	Archer-Daniels-Midland	US                	30        	Consumer Staples	      16.94
ASH            	Ashland Inc.	US                	10        	Energy	      46.18
T              	AT&T Corp. (New)	US                	50        	Telecommunications Services	      19.50
AWE            	AT&T Wireless Services	US                	50        	Telecommunications Services	      11.30
ADSK           	Autodesk, Inc.	US                	45        	Information Technology	      26.81
ADP            	Automatic Data Processing Inc.	US                	45        	Information Technology	      43.48
AN             	AutoNation, Inc.	US                	25        	Consumer Discretionary	      17.21
AZO            	AutoZone Inc.	US                	25        	Consumer Discretionary	      89.80
AV             	Avaya Inc.	US                	45        	Information Technology	      18.11
AVY            	Avery Dennison Corp.	US                	20        	Industrials	      61.82
AVP            	Avon Products	US                	30        	Consumer Staples	      68.05
BHI            	Baker Hughes	US                	10        	Energy	      34.70
BLL            	Ball Corp.	US                	15        	Materials	      64.55
BAC            	Bank of America Corp.	US                	40        	Financials	      81.68
BK             	Bank of New York	US                	40        	Financials	      31.49
ONE            	Bank One Corp.	US                	40        	Financials	      51.69
BCR            	Bard (C.R.) Inc.	US                	35        	Health Care	      92.45
BOL            	Bausch & Lomb	US                	35        	Health Care	      54.75
BAX            	Baxter International Inc.	US                	35        	Health Care	      29.85
BBT            	BB&T Corporation	US                	40        	Financials	      37.00
BSC            	Bear Stearns Cos.	US                	40        	Financials	      83.18
BDX            	Becton, Dickinson	US                	35        	Health Care	      48.05
BBBY           	Bed Bath & Beyond	US                	25        	Consumer Discretionary	      42.06
BLS            	BellSouth	US                	50        	Telecommunications Services	      29.95
BMS            	Bemis Company	US                	15        	Materials	      49.20
BBY            	Best Buy Co., Inc.	US                	25        	Consumer Discretionary	      53.59
BLI            	Big Lots, Inc.	US                	25        	Consumer Discretionary	      14.53
BIIB           	BIOGEN IDEC Inc.	US                	35        	Health Care	      44.04
BMET           	Biomet, Inc.	US                	35        	Health Care	      40.10
BJS            	BJ Services	US                	10        	Energy	      40.53
BDK            	Black & Decker Corp.	US                	25        	Consumer Discretionary	      51.87
HRB            	Block H&R	US                	20        	Industrials	      60.48
BMC            	BMC Software	US                	45        	Information Technology	      19.97
BA             	Boeing Company	US                	20        	Industrials	      43.96
BCC            	Boise Cascade	US                	25        	Consumer Discretionary	      32.59
BSX            	Boston Scientific	US                	35        	Health Care	      41.60
BMY            	Bristol-Myers Squibb	US                	35        	Health Care	      28.70
BRCM           	Broadcom Corporation	US                	45        	Information Technology	      38.81
BF.B           	Brown-Forman Corp.	US                	30        	Consumer Staples	      47.17
BC             	Brunswick Corp.	US                	25        	Consumer Discretionary	      36.32
BNI            	Burlington Northern Santa Fe C	US                	20        	Industrials	      32.49
BR             	Burlington Resources	US                	10        	Energy	      54.50
CPN            	Calpine Corp.	US                	55        	Utilities	       5.85
CPB            	Campbell Soup	US                	30        	Consumer Staples	      27.42
COF            	Capital One Financial	US                	40        	Financials	      72.33
CAH            	Cardinal Health, Inc.	US                	35        	Health Care	      63.63
CCL            	Carnival Corp.	US                	25        	Consumer Discretionary	      43.92
CAT            	Caterpillar Inc.	US                	20        	Industrials	      77.67
CD             	Cendant Corporation	US                	20        	Industrials	      22.58
CNP            	CenterPoint Energy	US                	55        	Utilities	      10.18
CTX            	Centex Corp.	US                	25        	Consumer Discretionary	      98.25
CTL            	Century Telephone	US                	50        	Telecommunications Services	      27.33
SCH            	Charles Schwab	US                	40        	Financials	      12.42
CF             	Charter One Financial	US                	40        	Financials	      35.65
CVX            	ChevronTexaco Corp.	US                	10        	Energy	      85.78
CHIR           	Chiron Corp.	US                	35        	Health Care	      52.09
CB             	Chubb Corp.	US                	40        	Financials	      71.79
CIEN           	CIENA Corp.	US                	45        	Information Technology	       6.12
CI             	CIGNA Corp.	US                	35        	Health Care	      54.85
CINF           	Cincinnati Financial	US                	40        	Financials	      43.80
CIN            	CINergy Corp.	US                	55        	Utilities	      37.28
CTAS           	Cintas Corporation	US                	20        	Industrials	      45.44
CC             	Circuit City Group	US                	25        	Consumer Discretionary	      11.23
CSCO           	Cisco Systems	US                	45        	Information Technology	      24.67
C              	Citigroup Inc.	US                	40        	Financials	      49.15
CZN            	Citizens Communications	US                	50        	Telecommunications Services	      12.25
CTXS           	Citrix Systems	US                	45        	Information Technology	      19.50
CCU            	Clear Channel Communications	US                	25        	Consumer Discretionary	      44.95
CLX            	Clorox Co.	US                	30        	Consumer Staples	      50.15
CMS            	CMS Energy	US                	55        	Utilities	       8.86
KO             	Coca Cola Co.	US                	30        	Consumer Staples	      52.40
CCE            	Coca-Cola Enterprises	US                	30        	Consumer Staples	      23.35
CL             	Colgate-Palmolive	US                	30        	Consumer Staples	      54.92
CMCSA          	Comcast Corp.	US                	25        	Consumer Discretionary	      33.25
CMA            	Comerica Inc.	US                	40        	Financials	      56.59
CA             	Computer Associates Intl.	US                	45        	Information Technology	      26.58
CSC            	Computer Sciences Corp.	US                	45        	Information Technology	      46.13
CPWR           	Compuware Corp.	US                	45        	Information Technology	       8.04
CMVT           	Comverse Technology	US                	45        	Information Technology	      18.30
CAG            	ConAgra Foods, Inc.	US                	30        	Consumer Staples	      25.96
CE             	Concord EFS Inc.	US                	45        	Information Technology	      13.79
COP            	ConocoPhillips	US                	10        	Energy	      66.17
ED             	Consolidated Edison	US                	55        	Utilities	      42.96
CEG            	Constellation Energy Group	US                	55        	Utilities	      39.76
CVG            	Convergys Corp.	US                	45        	Information Technology	      16.15
